"","Country_Name","Production"
"1","Brazil",134000
"2","United States",112549
"3","Argentina",47500
"4","China",19600
"5","India",10700
"6","Paraguay",10200
"7","Canada",6350
"8","Russia",4307
"9","Ukraine",3100
"10","Bolivia",2850
