"","Country_Name","Production"
"1","United States",360252
"2","China",260670
"3","Brazil",109000
"4","European Union",63700
"5","Argentina",47500
"6","India",30200
"7","Ukraine",29500
"8","Mexico",27800
"9","South Africa",17000
"10","Russia",13872
