symbol,timestamp,tradingDay,open,high,low,close,volume
"ZCk11","2011-03-31T09:45:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","333"
"ZCk11","2011-03-31T10:00:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","90"
"ZCk11","2011-03-31T10:15:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","72"
"ZCk11","2011-03-31T10:30:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","27"
"ZCk11","2011-03-31T10:45:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","35"
"ZCk11","2011-03-31T11:00:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","8"
"ZCk11","2011-03-31T11:15:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","1"
"ZCk11","2011-03-31T11:30:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","3"
"ZCk11","2011-03-31T11:45:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","25"
"ZCk11","2011-03-31T12:00:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","9"
"ZCk11","2011-03-31T12:15:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","2"
"ZCk11","2011-03-31T12:30:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","6"
"ZCk11","2011-03-31T12:45:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","45"
"ZCk11","2011-03-31T13:00:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","128"
"ZCk11","2011-03-31T18:00:00-05:00","2011-04-01","730","733","727","731","8368"
"ZCk11","2011-03-31T18:15:00-05:00","2011-04-01","731","731.75","726.75","730","2058"
"ZCk11","2011-03-31T18:30:00-05:00","2011-04-01","729.75","731","729.25","730.5","797"
"ZCk11","2011-03-31T18:45:00-05:00","2011-04-01","730.5","732","729.75","731.75","595"
"ZCk11","2011-03-31T19:00:00-05:00","2011-04-01","731.75","731.75","730","730.25","352"
"ZCk11","2011-03-31T19:15:00-05:00","2011-04-01","730.25","732","729.25","729.5","1312"
"ZCk11","2011-03-31T19:30:00-05:00","2011-04-01","729.5","729.75","727.25","727.25","491"
"ZCk11","2011-03-31T19:45:00-05:00","2011-04-01","727.25","727.75","725.75","726.25","428"
"ZCk11","2011-03-31T20:00:00-05:00","2011-04-01","726.25","726.75","725","726.25","844"
"ZCk11","2011-03-31T20:15:00-05:00","2011-04-01","726.25","729","726.25","727.75","639"
"ZCk11","2011-03-31T20:30:00-05:00","2011-04-01","728","728","726","726","273"
"ZCk11","2011-03-31T20:45:00-05:00","2011-04-01","725.75","728.25","725.75","728.25","215"
"ZCk11","2011-03-31T21:00:00-05:00","2011-04-01","728.25","730","727.25","729.75","482"
"ZCk11","2011-03-31T21:15:00-05:00","2011-04-01","729.5","730.75","729.5","730","142"
"ZCk11","2011-03-31T21:30:00-05:00","2011-04-01","730","730.75","729.5","729.75","158"
"ZCk11","2011-03-31T21:45:00-05:00","2011-04-01","730","731.25","729.5","731","178"
"ZCk11","2011-03-31T22:00:00-05:00","2011-04-01","731","733","730.25","732.75","465"
"ZCk11","2011-03-31T22:15:00-05:00","2011-04-01","732.5","733.25","732.25","732.5","356"
"ZCk11","2011-03-31T22:30:00-05:00","2011-04-01","732.5","732.75","731","732.75","133"
"ZCk11","2011-03-31T22:45:00-05:00","2011-04-01","732.75","733","732","732.75","63"
"ZCk11","2011-03-31T23:00:00-05:00","2011-04-01","732.75","733","732.25","732.75","127"
"ZCk11","2011-03-31T23:15:00-05:00","2011-04-01","732.75","734","732.25","733.25","551"
"ZCk11","2011-03-31T23:30:00-05:00","2011-04-01","733.5","733.75","732.5","733.5","235"
"ZCk11","2011-03-31T23:45:00-05:00","2011-04-01","733.25","733.5","732","732","58"
