symbol,timestamp,tradingDay,open,high,low,close,volume
"ZCz10","2010-10-08T00:00:00-05:00","2010-10-08","502.5","502.75","502.25","502.25","16"
"ZCz10","2010-10-08T00:15:00-05:00","2010-10-08","502.5","502.5","500.75","500.75","293"
"ZCz10","2010-10-08T00:30:00-05:00","2010-10-08","500.75","501.5","500.75","501","38"
"ZCz10","2010-10-08T00:45:00-05:00","2010-10-08","500.75","501.5","500.25","500.5","199"
"ZCz10","2010-10-08T01:00:00-05:00","2010-10-08","500.5","500.5","500.25","500.25","190"
"ZCz10","2010-10-08T01:15:00-05:00","2010-10-08","500.25","500.5","499.75","500.25","221"
"ZCz10","2010-10-08T01:30:00-05:00","2010-10-08","500","500.5","499.5","499.75","115"
"ZCz10","2010-10-08T01:45:00-05:00","2010-10-08","499.25","499.75","498.5","498.75","299"
"ZCz10","2010-10-08T02:00:00-05:00","2010-10-08","498.75","498.75","497.25","497.25","462"
"ZCz10","2010-10-08T02:15:00-05:00","2010-10-08","497.5","498.5","497.5","498","95"
"ZCz10","2010-10-08T02:30:00-05:00","2010-10-08","498","498.25","497.5","498","117"
"ZCz10","2010-10-08T02:45:00-05:00","2010-10-08","498","498","497.5","497.75","61"
"ZCz10","2010-10-08T03:00:00-05:00","2010-10-08","497.75","498.25","497.75","497.75","213"
"ZCz10","2010-10-08T03:15:00-05:00","2010-10-08","498","498.25","497.5","497.5","174"
"ZCz10","2010-10-08T03:30:00-05:00","2010-10-08","497.75","498.25","497.25","497.25","142"
"ZCz10","2010-10-08T03:45:00-05:00","2010-10-08","497.5","498","497.5","497.75","47"
"ZCz10","2010-10-08T04:00:00-05:00","2010-10-08","497.5","498","497.25","497.5","65"
"ZCz10","2010-10-08T04:15:00-05:00","2010-10-08","497.75","498.25","497.75","498","129"
"ZCz10","2010-10-08T04:30:00-05:00","2010-10-08","498.25","498.25","497.5","497.75","140"
"ZCz10","2010-10-08T04:45:00-05:00","2010-10-08","497.5","497.5","496.75","496.75","248"
"ZCz10","2010-10-08T05:00:00-05:00","2010-10-08","496.75","497.25","496.5","497","94"
"ZCz10","2010-10-08T05:15:00-05:00","2010-10-08","497","497.25","497","497","388"
"ZCz10","2010-10-08T05:30:00-05:00","2010-10-08","497","497","496.5","496.5","155"
"ZCz10","2010-10-08T05:45:00-05:00","2010-10-08","496.5","497","496.5","497","133"
"ZCz10","2010-10-08T06:00:00-05:00","2010-10-08","497.25","497.25","496","496.5","356"
"ZCz10","2010-10-08T06:15:00-05:00","2010-10-08","496.25","496.75","496","496.5","161"
"ZCz10","2010-10-08T06:30:00-05:00","2010-10-08","496.5","498","496.5","497.25","363"
"ZCz10","2010-10-08T06:45:00-05:00","2010-10-08","497.5","498.25","497.25","498","376"
"ZCz10","2010-10-08T07:00:00-05:00","2010-10-08","498.25","498.25","496.25","496.5","698"
"ZCz10","2010-10-08T09:30:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","3163"
"ZCz10","2010-10-08T09:45:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","193"
"ZCz10","2010-10-08T10:00:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","118"
"ZCz10","2010-10-08T10:15:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","94"
"ZCz10","2010-10-08T10:30:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","214"
"ZCz10","2010-10-08T10:45:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","24"
"ZCz10","2010-10-08T11:00:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","106"
"ZCz10","2010-10-08T11:15:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","115"
"ZCz10","2010-10-08T11:30:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","54"
"ZCz10","2010-10-08T11:45:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","33"
"ZCz10","2010-10-08T12:00:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","150"
"ZCz10","2010-10-08T12:15:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","4"
"ZCz10","2010-10-08T12:30:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","29"
"ZCz10","2010-10-08T12:45:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","7"
"ZCz10","2010-10-08T13:00:00-05:00","2010-10-08","528.25","528.25","528.25","528.25","178"
