"","Year","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","CORN - CONDITION, MEASURED IN PCT EXCELLENT","CORN - CONDITION, MEASURED IN PCT FAIR","CORN - CONDITION, MEASURED IN PCT GOOD","CORN - CONDITION, MEASURED IN PCT POOR","CORN - CONDITION, MEASURED IN PCT VERY POOR"
"1",2020,172,15,21,60,3,1
"2",2019,167.5,7,32,52,7,2
"3",2018,176.4,18,19,59,3,1
"4",2017,176.6,10,25,57,6,2
"5",2016,174.6,15,21,60,3,1
"6",2015,168.4,13,22,61,3,1
"7",2014,171,15,21,60,3,1
"8",2013,158.1,10,29,53,6,2
"9",2012,123.1,12,26,54,6,2
"10",2011,146.8,13,25,56,4,2
"11",2010,152.6,19,18,58,4,1
"12",2009,164.4,13,25,56,5,1
"13",2008,153.3,10,31,50,7,2
"14",2007,150.7,20,18,57,4,1
"15",2006,149.1,15,24,55,5,1
"16",2005,147.9,14,27,53,5,1
"17",2004,160.3,15,25,53,5,2
"18",2003,142.2,14,25,55,5,1
"19",2002,129.3,10,32,49,7,2
"20",2001,138.2,11,30,51,7,1
"21",2000,136.9,16,23,53,6,2
"22",1999,133.8,19,20,56,4,1
"23",1998,134.4,17,21,57,4,1
"24",1997,126.7,10,30,55,4,1
"25",1996,127.1,6,39,44,9,2
"26",1995,113.5,NA,NA,NA,NA,NA
"27",1994,138.6,8,25,65,2,NA
"28",1993,100.7,4,36,53,6,1
"29",1992,131.5,4,45,42,8,1
"30",1991,108.6,20,17,61,2,NA
"31",1990,118.5,5,40,47,7,1
"32",1989,116.3,8,31,56,4,1
"33",1988,84.6,4,43,43,9,1
"34",1987,119.8,18,18,63,1,NA
"35",1986,119.4,13,22,63,2,NA
"36",1985,118,NA,NA,NA,NA,NA
"37",1984,106.7,NA,NA,NA,NA,NA
"38",1983,81.1,NA,NA,NA,NA,NA
"39",1982,113.2,NA,NA,NA,NA,NA
"40",1981,108.9,NA,NA,NA,NA,NA
"41",1980,91,NA,NA,NA,NA,NA
