"","Year","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","CORN - CONDITION, MEASURED IN PCT EXCELLENT","CORN - CONDITION, MEASURED IN PCT FAIR","CORN - CONDITION, MEASURED IN PCT GOOD","CORN - CONDITION, MEASURED IN PCT POOR","CORN - CONDITION, MEASURED IN PCT VERY POOR"
"1",2020,172,14,25,47,9,5
"2",2019,167.5,11,30,46,10,3
"3",2018,176.4,22,19,47,8,4
"4",2017,176.6,14,26,47,9,4
"5",2016,174.6,20,19,54,5,2
"6",2015,168.4,19,22,49,7,3
"7",2014,171,23,19,51,5,2
"8",2013,158.1,13,29,42,11,5
"9",2012,123.1,3,25,21,24,27
"10",2011,146.8,11,28,41,13,7
"11",2010,152.6,19,21,47,9,4
"12",2009,164.4,20,22,48,7,3
"13",2008,153.3,13,27,46,10,4
"14",2007,150.7,18,23,45,9,5
"15",2006,149.1,17,23,44,10,6
"16",2005,147.9,14,27,38,13,8
"17",2004,160.3,23,20,47,7,3
"18",2003,142.2,10,30,36,15,9
"19",2002,129.3,9,28,33,17,13
"20",2001,138.2,13,30,43,10,4
"21",2000,136.9,17,25,46,8,4
"22",1999,133.8,14,28,44,9,5
"23",1998,134.4,18,22,50,7,3
"24",1997,126.7,14,27,48,8,3
"25",1996,127.1,15,27,47,8,3
"26",1995,113.5,7,35,46,10,2
"27",1994,138.6,25,13,60,2,NA
"28",1993,100.7,6,35,43,13,3
"29",1992,131.5,16,18,62,3,1
"30",1991,108.6,8,34,43,11,4
"31",1990,118.5,12,20,63,4,1
"32",1989,116.3,14,25,53,6,2
"33",1988,84.6,NA,NA,NA,NA,NA
"34",1987,119.8,20,16,60,3,1
"35",1986,119.4,32,12,52,3,1
"36",1985,118,NA,NA,NA,NA,NA
"37",1984,106.7,NA,NA,NA,NA,NA
"38",1983,81.1,NA,NA,NA,NA,NA
"39",1982,113.2,NA,NA,NA,NA,NA
"40",1981,108.9,NA,NA,NA,NA,NA
"41",1980,91,NA,NA,NA,NA,NA
