"","Year","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","CORN - CONDITION, MEASURED IN PCT EXCELLENT","CORN - CONDITION, MEASURED IN PCT FAIR","CORN - CONDITION, MEASURED IN PCT GOOD","CORN - CONDITION, MEASURED IN PCT POOR","CORN - CONDITION, MEASURED IN PCT VERY POOR"
"1",2020,172,14,25,48,9,4
"2",2019,167.5,11,29,45,11,4
"3",2018,176.4,21,20,47,8,4
"4",2017,176.6,15,25,49,8,3
"5",2016,174.6,20,19,53,6,2
"6",2015,168.4,20,22,48,7,3
"7",2014,171,24,19,50,5,2
"8",2013,158.1,NA,NA,NA,NA,NA
"9",2012,123.1,NA,NA,NA,NA,NA
"10",2011,146.8,11,28,42,12,7
"11",2010,152.6,20,21,48,8,3
"12",2009,164.4,19,21,51,6,3
"13",2008,153.3,14,26,47,9,4
"14",2007,150.7,19,23,44,9,5
"15",2006,149.1,18,24,43,9,6
"16",2005,147.9,15,25,41,12,7
"17",2004,160.3,24,19,49,6,2
"18",2003,142.2,12,29,38,13,8
"19",2002,129.3,10,27,34,17,12
"20",2001,138.2,14,30,44,9,3
"21",2000,136.9,NA,NA,NA,NA,NA
"22",1999,133.8,NA,NA,NA,NA,NA
"23",1998,134.4,NA,NA,NA,NA,NA
"24",1997,126.7,14,27,50,7,2
"25",1996,127.1,17,26,48,7,2
"26",1995,113.5,6,36,46,10,2
"27",1994,138.6,NA,NA,NA,NA,NA
"28",1993,100.7,6,36,43,12,3
"29",1992,131.5,18,16,61,3,2
"30",1991,108.6,9,33,44,9,5
"31",1990,118.5,12,20,64,3,1
"32",1989,116.3,NA,NA,NA,NA,NA
"33",1988,84.6,NA,NA,NA,NA,NA
"34",1987,119.8,22,15,59,3,1
"35",1986,119.4,NA,NA,NA,NA,NA
"36",1985,118,NA,NA,NA,NA,NA
"37",1984,106.7,NA,NA,NA,NA,NA
"38",1983,81.1,NA,NA,NA,NA,NA
"39",1982,113.2,NA,NA,NA,NA,NA
"40",1981,108.9,NA,NA,NA,NA,NA
"41",1980,91,NA,NA,NA,NA,NA
