"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"1",2016-09-26,373.5,375.5,368.75,369,6.25,369.5,4349,72482
"2",2016-09-23,376.25,378.5,373.5,374.75,0.75,375.75,4944,72119
"3",2016-09-22,379.25,380.75,374.75,376.25,3,376.5,6086,70894
"4",2016-09-21,379.25,380,378,378.75,0.75,379.5,2145,70797
"5",2016-09-20,376.5,381.75,375.75,379.75,2.75,380.25,2788,70699
"6",2016-09-19,376.5,379.75,372.75,377,0.75,377.5,7082,70393
"7",2016-09-16,370.25,378,368.75,373.75,6,376.75,7993,70512
"8",2016-09-15,373,375.5,369.25,370,2.5,370.75,4705,70297
"9",2016-09-14,372,373.5,368.25,373.5,1.25,373.25,5289,70535
"10",2016-09-13,380,381.75,371.5,372.25,8.75,372,4697,70223
"11",2016-09-12,380.5,383,376.5,381.25,0.5,380.75,8067,71343
"12",2016-09-09,378.5,381.5,375,380,2,381.25,6350,70903
"13",2016-09-08,374.75,379,374,378.5,4.75,379.25,5827,70600
"14",2016-09-07,369.75,375,369,375,3.5,374.5,5991,69155
"15",2016-09-06,369,371.5,365.5,369.5,1.25,371,4710,67983
"16",2016-09-02,366,370.75,365.75,370,3.5,369.75,6897,66825
"17",2016-09-01,359.5,368,359.25,365.5,6.75,366.25,5989,65939
"18",2016-08-31,360,362,358.5,360,0.25,359.5,12051,62306
"19",2016-08-30,363.75,364,359.25,359.75,4,359.75,8872,59519
"20",2016-08-29,366.5,369.5,362.75,364.25,3,363.75,5917,57942
"21",2016-08-26,373.25,374.25,366.25,366.75,6.25,366.75,5214,57249
"22",2016-08-25,376,377.25,372,372.75,3,373,3861,56953
"23",2016-08-24,377.25,379.25,374.75,376.25,1.25,376,4370,55901
"24",2016-08-23,380.75,381,375,377.5,3.75,377.25,4331,56107
"25",2016-08-22,381.75,382.5,379.25,382,1.5,381,1864,55955
"26",2016-08-19,381.25,383,379.5,382.75,1.25,382.5,2117,56435
"27",2016-08-18,378,381.75,375.75,382,2.75,381.25,2899,56265
"28",2016-08-17,374.75,378.75,374.25,378.5,2.75,378.5,3040,56352
"29",2016-08-16,376.25,378,373.75,376.5,0.25,375.75,2686,56119
"30",2016-08-15,373,378,372,376.25,2.25,376,4459,56391
"31",2016-08-12,371.5,374.25,364,372,1.5,373.75,13163,53584
"32",2016-08-11,372.25,373,371,372.25,NA,372.25,4773,52221
"33",2016-08-10,371.25,374.25,371,372.25,1,372.25,3583,52040
"34",2016-08-09,373,373.25,370.25,371.5,1.75,371.25,4642,52125
"35",2016-08-08,372,373.25,369.25,373.25,0.75,373,4279,51493
"36",2016-08-05,369.75,372.25,368.75,371.5,2.25,372.25,6150,50030
"37",2016-08-04,372.5,373.25,369,370,2.5,370,5882,49758
"38",2016-08-03,370,374.5,369.25,372.75,2.5,372.5,6277,49274
"39",2016-08-02,366.5,370.25,365,370,3.5,370,8218,48496
"40",2016-08-01,370,372,366,367.5,6,366.5,4313,48339
"41",2016-07-29,368,372.75,366,372.25,4.25,372.5,3739,47160
"42",2016-07-28,371.5,372.75,366.25,368.25,2,368.25,5119,46107
"43",2016-07-27,369.75,373.25,367.5,370.25,0.5,370.25,4649,45502
"44",2016-07-26,371,373.75,368.75,369.5,2,369.75,4798,43881
"45",2016-07-25,373,375,369.5,371.5,1.25,371.75,4058,42022
"46",2016-07-22,373.25,374.25,367.5,373.75,0.25,373,4324,41291
"47",2016-07-21,374.75,377.5,371.25,372.5,1.5,373.25,3489,40656
"48",2016-07-20,376.75,380,371.5,375,1.75,374.75,10180,37929
"49",2016-07-19,384,385.5,376,377.5,10,376.5,5321,36489
