"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"1",2016-09-26,365,365.25,359.5,359.75,6.75,359.75,1973,41589
"2",2016-09-23,366.75,369,364.75,365.5,0.75,366.5,1439,41381
"3",2016-09-22,371,371.25,365.75,367,2.75,367.25,1333,41150
"4",2016-09-21,369.75,371,368.5,369.5,0.75,370,777,41122
"5",2016-09-20,367.75,372.25,366.5,370.25,2.75,370.75,828,41136
"6",2016-09-19,369.5,370.5,363.25,367.5,0.5,368,2507,41484
"7",2016-09-16,360.25,368.25,358.75,366.5,6.75,367.5,2241,41329
"8",2016-09-15,363.25,365.75,359.5,360.25,2.5,360.75,1058,41303
"9",2016-09-14,361.5,363.5,358.5,363.5,1.75,363.25,2572,41022
"10",2016-09-13,370.5,371.5,361.25,361.5,9.25,361.5,2054,41011
"11",2016-09-12,371.5,373.75,367.25,371,1,370.75,3228,41317
"12",2016-09-09,368,372.5,365.75,370.75,2.5,371.75,2197,41130
"13",2016-09-08,364.25,369.25,363.75,368.75,5,369.25,2590,41105
"14",2016-09-07,359.75,365,359.75,364.75,4,364.25,3532,40912
"15",2016-09-06,358.75,361,355,359.25,0.75,360.25,2011,40837
"16",2016-09-02,358,361,357.5,359.75,3.5,359.5,4118,40987
"17",2016-09-01,349,358,349,355.75,7,356,2767,40663
"18",2016-08-31,349,351.75,348.25,348.5,0.25,349,5343,39924
"19",2016-08-30,353.25,354,348.25,349,4.25,348.75,7823,37439
"20",2016-08-29,356.5,357.5,352.25,353.5,3.25,353,3473,36520
"21",2016-08-26,363,364.25,356,356.5,6.75,356.25,2528,36040
"22",2016-08-25,366.5,367.5,362,363,3.5,363,2914,35435
"23",2016-08-24,367.5,369.75,365.25,366.75,1.25,366.5,1648,35331
"24",2016-08-23,370,370.25,365.75,367.75,4.5,367.75,2126,35015
"25",2016-08-22,373.25,374,370,372.75,1.25,372.25,2169,34835
"26",2016-08-19,373,374.25,371.25,373.5,1,373.5,2469,34604
"27",2016-08-18,369.5,373,367,373,3,372.5,1473,34343
"28",2016-08-17,366.5,369.5,366.25,369.25,2.5,369.5,975,33994
"29",2016-08-16,367.25,368.75,365,367.25,0.25,367,1769,33636
"30",2016-08-15,363.5,368.5,363.5,367.75,3.25,367.25,2342,33475
"31",2016-08-12,362.5,364.75,354,364.25,1.25,364,7911,32522
"32",2016-08-11,363.25,364,361.75,362.5,0.5,362.75,3536,31411
"33",2016-08-10,364.5,366,362.5,363.25,0.5,363.25,2628,31310
"34",2016-08-09,364.75,365.25,362.25,363,2.5,362.75,2974,30506
"35",2016-08-08,363.5,365.75,361.5,365,0.75,365.25,6054,27668
"36",2016-08-05,362,364.75,360.75,363.75,2.5,364.5,7049,25678
"37",2016-08-04,365,365.5,361,362.25,2.75,362,6521,23496
"38",2016-08-03,363,367.25,362.5,364.75,1.75,364.75,6714,21224
"39",2016-08-02,359.25,363.25,357.5,363,3.25,363,9903,17725
"40",2016-08-01,363,363.75,359.5,360.75,7.25,359.75,4115,16251
"41",2016-07-29,362.75,367,360.25,366.5,4.75,367,2442,15421
"42",2016-07-28,366.5,367.25,360.75,362.75,3.25,362.25,1540,15145
"43",2016-07-27,363.75,367.25,362.5,365.25,2,365.5,2220,14668
"44",2016-07-26,365,367.5,362.75,363.25,2.5,363.5,1389,14206
"45",2016-07-25,367,368.75,363.25,366,1,366,1652,14067
"46",2016-07-22,365.75,367.75,359.5,367.25,1.75,367,2774,13772
"47",2016-07-21,367.5,370.75,364,365.25,2.5,365.25,2210,13282
"48",2016-07-20,372.75,373,365,368,1.75,367.75,2929,12739
"49",2016-07-19,377.75,378,369.25,371,11.5,369.5,1637,12727
"50",2016-07-18,375.25,381,373,380.75,5.75,381,1225,12629
"51",2016-07-15,379.5,383.25,369,375,6.5,375.25,1216,12394
"52",2016-07-14,387.75,392,379.75,379.75,2.75,381.75,1117,12491
"53",2016-07-13,385.5,388.25,384,385.25,5.25,384.5,1681,12021
"54",2016-07-12,376,379.25,371,379,4.25,379.25,1548,11969
"55",2016-07-11,384.25,384.75,371.75,376,6.25,375,1135,11679
"56",2016-07-08,372.5,381.5,371.75,381.25,10.25,381.25,1312,11347
"57",2016-07-07,370.75,379,369,371,1,371,2049,11053
"58",2016-07-06,377,377,368,371,7,370,1742,11369
"59",2016-07-05,379,379,369.75,376,5.75,377,2690,11393
"60",2016-07-01,382.5,385.25,382,382.75,NA,382.75,1819,11415
"61",2016-06-30,384.25,386,376.25,385.75,0.5,382.75,2312,11400
"62",2016-06-29,389.25,391,382.25,383,8.25,382.25,1878,10915
"63",2016-06-28,393.25,403,389.25,390.5,3.25,390.5,783,10777
"64",2016-06-27,398.5,400,392,393.75,0.25,393.75,720,10648
"65",2016-06-24,398,398,387,394,3.25,393.5,2362,9808
"66",2016-06-23,398.75,400.25,394,396,2.75,396.75,794,9723
"67",2016-06-22,404.75,407.75,398.5,398.5,6.25,399.5,1164,9439
"68",2016-06-21,412.75,414.25,400.5,405.5,7.75,405.75,1989,9164
"69",2016-06-20,414.5,415.25,411,413,6.5,413.5,743,8996
"70",2016-06-17,413.75,420.25,413.5,419.25,8,420,588,8893
"71",2016-06-16,413,414.75,409,412.75,1.75,412,948,8632
"72",2016-06-15,420,420.25,412.75,413.25,5.25,413.75,831,8331
"73",2016-06-14,417,420.25,411.75,418,1.75,419,633,8181
"74",2016-06-13,419.75,422.5,412.75,415.25,3.5,417.25,1332,8002
"75",2016-06-10,414.25,418,411.5,413,2,413.75,1172,8057
"76",2016-06-09,418.25,418.25,414.25,415.25,5.75,415.75,913,8076
"77",2016-06-08,417.5,422.5,417.5,420.25,1.5,421.5,2031,7935
"78",2016-06-07,417,420,416,420,0.75,420,1377,7381
"79",2016-06-06,418.5,419.25,414.5,418.75,3.75,419.25,1783,6452
"80",2016-06-03,413.75,415.5,409.75,415.25,1.5,415.5,1105,6187
"81",2016-06-02,412.5,414.25,410.5,412.5,0.25,414,726,5889
"82",2016-06-01,408.75,413.5,406,413,6,413.75,1124,5647
"83",2016-05-31,413,414.5,408,408,7,407.75,548,5556
"84",2016-05-27,412,415,411.25,412.25,2.75,414.75,347,5395
"85",2016-05-26,410,412,407.25,412,1.75,412,410,5309
"86",2016-05-25,410.75,411.5,409.25,410,3.25,410.25,1116,5117
"87",2016-05-24,409.75,412,406,406,2.25,407,303,5036
"88",2016-05-23,406.5,411,404.5,409.25,2.5,409.25,675,4745
"89",2016-05-20,410.75,411.5,404.75,406.5,0.25,406.75,516,4462
