"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2013-12-13,430,430,420.5,NA,NA,420.5,294,260
"2",2013-12-12,431.25,431.75,424.25,NA,NA,428.25,1651,1645
"3",2013-12-11,427.5,432,426,NA,NA,431.25,1779,2777
"4",2013-12-10,428,431.25,421.75,NA,NA,427.5,3136,4900
"5",2013-12-09,424,429,422.75,NA,NA,428.5,1493,6012
"6",2013-12-06,422.5,425,419.5,NA,NA,424,2066,6951
"7",2013-12-05,425.5,426.25,420.5,NA,NA,422.75,2450,8292
"8",2013-12-04,421.5,430,418,NA,NA,425.5,7681,12366
"9",2013-12-03,416.5,423,414.75,NA,NA,422,9221,16418
"10",2013-12-02,414.75,417.25,410,NA,NA,416.5,15288,21716
"11",2013-11-29,418.75,419.5,413,NA,NA,415.25,21422,30656
"12",2013-11-27,418,422.25,416.25,NA,NA,417.25,131861,77050
"13",2013-11-26,424.75,425,415.75,NA,NA,418.5,134589,132267
"14",2013-11-25,422.5,426.5,422.25,NA,NA,424.75,120425,197884
"15",2013-11-22,422.25,426.75,420.5,NA,NA,422.25,191027,298742
"16",2013-11-21,417,424,416.75,NA,NA,423,185232,337603
"17",2013-11-20,417.5,419,415,NA,NA,417,147328,355128
"18",2013-11-19,411.75,419,410.75,NA,NA,417.75,186465,386612
"19",2013-11-18,421.5,422.5,411.5,NA,NA,412,251910,400863
"20",2013-11-15,426,430,421.5,NA,NA,422,214647,424584
"21",2013-11-14,429.75,431.25,425.5,NA,NA,426.5,168007,452314
"22",2013-11-13,432,434.5,428.75,NA,NA,429.75,227275,491356
"23",2013-11-12,434.25,438,430.25,NA,NA,432.25,176996,520324
"24",2013-11-11,427.25,437.25,427.25,NA,NA,434.75,257998,566429
"25",2013-11-08,419.5,429.5,415.5,NA,NA,426.75,369522,587101
"26",2013-11-07,421,424.25,419,NA,NA,420.5,242520,613639
"27",2013-11-06,424.5,426,420.75,NA,NA,421.25,205455,633427
"28",2013-11-05,425.5,427,424,NA,NA,425,171067,656892
"29",2013-11-04,426.25,428.75,425.25,NA,NA,426.25,155438,661674
"30",2013-11-01,427.75,429.75,425.75,NA,NA,427.25,177376,678918
"31",2013-10-31,430,436.25,427,NA,NA,428.25,228292,693800
"32",2013-10-30,431.5,435,429.5,NA,NA,430.25,146901,702790
"33",2013-10-29,430.25,434,428.25,NA,NA,432,161905,708294
"34",2013-10-28,439,440,430.25,NA,NA,430.75,199470,707250
"35",2013-10-25,440,442,439.5,NA,NA,440,115007,713476
"36",2013-10-24,442,444.5,438.5,NA,NA,440.25,146812,717718
"37",2013-10-23,438,446.25,437.5,NA,NA,442.75,157589,724761
"38",2013-10-22,443.25,444.5,437,NA,NA,438.25,95427,719403
"39",2013-10-21,440.5,444.5,438,NA,NA,444,107313,716588
"40",2013-10-18,442.5,447.75,440,NA,NA,441.5,114439,710178
"41",2013-10-17,442,446.5,441.5,NA,NA,443,110564,710125
"42",2013-10-16,443,446,439,NA,NA,442.75,121354,711609
"43",2013-10-15,436.5,444,436,NA,NA,443.5,134317,712126
"44",2013-10-14,432.75,437.5,432,NA,NA,437,87707,713939
"45",2013-10-11,436.5,437,432.5,NA,NA,433.25,96399,717672
"46",2013-10-10,443,446.5,436.5,NA,NA,438.25,111943,716096
"47",2013-10-09,441.5,447,440.5,NA,NA,443.5,107532,720741
"48",2013-10-08,448.5,449.75,439.75,NA,NA,441.75,129167,718736
"49",2013-10-07,442.75,449.5,441.5,NA,NA,449.25,149724,720780
"50",2013-10-04,439.5,443.75,438.75,NA,NA,443.25,81633,723993
"51",2013-10-03,438.75,443.75,438,NA,NA,439.25,97815,723358
"52",2013-10-02,438.75,441,435,NA,NA,439,112088,725080
"53",2013-10-01,441.25,444.75,435.25,NA,NA,439,162928,727866
"54",2013-09-30,452.5,462,440.75,NA,NA,441.5,232646,723345
"55",2013-09-27,456.5,459,453,NA,NA,454,96945,726678
"56",2013-09-26,454.5,457.75,451,NA,NA,456.75,82660,727348
"57",2013-09-25,448.25,456.75,448.25,NA,NA,454.75,103577,725677
"58",2013-09-24,452.5,457,448,NA,NA,448.75,102993,721973
"59",2013-09-23,450,455,448.25,NA,NA,453.25,85987,723931
"60",2013-09-20,459.5,460,450.5,NA,NA,451,117663,728859
"61",2013-09-19,457,463.25,455.5,NA,NA,459.5,118080,732545
"62",2013-09-18,454,457,452,NA,NA,456.25,99394,726396
"63",2013-09-17,457,468.5,453.25,NA,NA,454,144070,714609
"64",2013-09-16,457.5,462,454,NA,NA,456.5,98001,712212
"65",2013-09-13,464.75,465.75,457.75,NA,NA,459,96077,709886
"66",2013-09-12,472,472.75,456.25,NA,NA,466.25,202455,701729
"67",2013-09-11,468.75,473.5,466.25,NA,NA,472.5,111521,711691
"68",2013-09-10,462.25,469.5,460.75,NA,NA,469,115733,710440
"69",2013-09-09,468.5,471,461.75,NA,NA,463.5,95377,708903
"70",2013-09-06,461,469,460.25,NA,NA,468.25,97571,714141
"71",2013-09-05,469,469.25,457,NA,NA,461,129825,706061
"72",2013-09-04,475.25,475.25,466.25,NA,NA,469.5,116350,709733
"73",2013-09-03,491,493.75,470.25,NA,NA,475.25,171292,703248
"74",2013-08-30,480.25,484,476.25,NA,NA,482,103461,700032
"75",2013-08-29,481.75,483.75,477,NA,NA,481.5,125022,695445
"76",2013-08-28,486,492,479,NA,NA,480.75,136147,692921
"77",2013-08-27,499.75,504.25,485,NA,NA,486.25,184918,694822
"78",2013-08-26,480,508.25,479,NA,NA,500.5,290560,698526
"79",2013-08-23,464.5,474.5,463.5,NA,NA,470,122060,708062
"80",2013-08-22,482,482.25,464.25,NA,NA,464.5,171630,713493
"81",2013-08-21,475,485.25,473.5,NA,NA,483.25,145892,711263
"82",2013-08-20,485,486.75,473.75,NA,NA,475.5,135416,721922
"83",2013-08-19,472.25,486.25,468,NA,NA,485.5,187862,722816
"84",2013-08-16,472.75,475.75,461,NA,NA,463.5,134856,722348
"85",2013-08-15,457.25,475.5,453.5,NA,NA,472.25,248698,706303
"86",2013-08-14,447,456,446.5,NA,NA,455.25,148020,692825
"87",2013-08-13,464.5,468.75,445.75,NA,NA,447.25,211587,678279
"88",2013-08-12,453.5,469.25,446.5,NA,NA,464,265100,660318
"89",2013-08-09,459.5,462.75,452,NA,NA,453.25,144433,646942
"90",2013-08-08,457.75,464.25,457,NA,NA,459.75,140296,630806
"91",2013-08-07,459,464.5,456.25,NA,NA,458.25,148868,614109
"92",2013-08-06,460,462.25,455,NA,NA,459.25,120468,611536
"93",2013-08-05,462.25,465,456,NA,NA,460.5,127429,607287
"94",2013-08-02,467,469.75,462.5,NA,NA,463.75,131663,600864
"95",2013-08-01,479,479,464,NA,NA,467,147820,590216
"96",2013-07-31,476.5,480.5,473.25,NA,NA,479,120790,576843
"97",2013-07-30,473.5,478.75,473,NA,NA,477.5,106561,574216
"98",2013-07-29,475,479.25,471.25,NA,NA,473.25,99405,573409
"99",2013-07-26,478,481,474.75,NA,NA,476,90033,571027
"100",2013-07-25,480.25,483,475.25,NA,NA,478.75,154527,571490
"101",2013-07-24,485.5,489,479.5,NA,NA,480.25,118302,567667
"102",2013-07-23,496,496.5,482,NA,NA,485.5,171855,557235
"103",2013-07-22,502.75,502.75,493.25,NA,NA,498,88045,549051
"104",2013-07-19,499.25,501.5,491,NA,NA,500.75,129313,547132
"105",2013-07-18,499.5,501.75,494,NA,NA,500.75,124561,544743
"106",2013-07-17,512.75,515,501.5,NA,NA,502,98600,539657
"107",2013-07-16,508,518.5,506,NA,NA,510.75,117787,540842
"108",2013-07-15,505.5,507.75,498.25,NA,NA,503.5,85860,542198
"109",2013-07-12,526.5,527,507,NA,NA,509.25,114185,540805
"110",2013-07-11,522.5,528.25,510.25,NA,NA,527,172981,536057
"111",2013-07-10,522,527.5,516.75,NA,NA,521.5,147553,544494
"112",2013-07-09,502.5,524.5,502.5,NA,NA,521.75,175097,540328
"113",2013-07-08,490.5,502.5,490,NA,NA,500.5,105688,543588
"114",2013-07-05,503,507.5,489.5,NA,NA,491.25,90689,544249
"115",2013-07-03,504,509.75,499,NA,NA,502.75,92001,534901
"116",2013-07-02,501.25,506.25,496.5,NA,NA,502.75,135829,528110
"117",2013-07-01,506.75,508.5,500.5,NA,NA,501.25,156450,521991
"118",2013-06-28,538,541,506,NA,NA,511,233807,522447
"119",2013-06-27,544.5,544.5,535.25,NA,NA,538.5,96800,525489
"120",2013-06-26,544.5,550,542,NA,NA,544,78258,527127
"121",2013-06-25,546.5,551,541.5,NA,NA,544.5,76204,530027
"122",2013-06-24,547.5,549.25,542.5,NA,NA,546.5,89759,537943
"123",2013-06-21,559.75,565,553.75,NA,NA,556.25,92904,536405
"124",2013-06-20,568,568.5,552,NA,NA,560.5,113486,533962
"125",2013-06-19,549,571,547,NA,NA,570.5,166628,519079
"126",2013-06-18,538.5,552,536,NA,NA,550.5,135932,501137
"127",2013-06-17,528,541.5,525.75,NA,NA,538.5,93631,494897
"128",2013-06-14,534,536.75,530.5,NA,NA,533,69916,490612
"129",2013-06-13,538.25,539,529,NA,NA,535.25,85552,481922
"130",2013-06-12,550.25,551.25,532.25,NA,NA,537.5,103639,481330
"131",2013-06-11,546,553.75,541.75,NA,NA,550.75,70533,476871
