"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2014-05-14,503.25,505.5,498,NA,8.5,494.75,356,357
"2",2014-05-13,498,503.75,497,NA,5.75,503.25,2036,1938
"3",2014-05-12,503,503,495.75,498,7.5,497.5,2531,3488
"4",2014-05-09,512,519.5,503,508.25,8.25,505,2136,4570
"5",2014-05-08,510.75,514,505,513.75,3,513.25,1744,5689
"6",2014-05-07,512,514,507,510.75,2.75,510.25,2674,7751
"7",2014-05-06,503,514,497.75,NA,9.75,513,4147,8897
"8",2014-05-05,494,504.5,493.25,503,9.25,503.25,3765,9813
"9",2014-05-02,503,505.25,492,494.25,9.25,494,15519,17373
"10",2014-05-01,513.25,515.75,501,503.5,10.75,503.25,18728,25254
"11",2014-04-30,515,515.5,509,514,1.75,514,31256,35010
"12",2014-04-29,509,516,508.25,515,8,515.75,87423,58793
"13",2014-04-28,506.25,512.5,505.25,507.5,0.5,507.75,100293,100271
"14",2014-04-25,501.25,510.75,500.75,504.5,5.5,507,90958,132628
"15",2014-04-24,502.75,507.5,499.5,501.5,2.5,501.25,113060,153168
"16",2014-04-23,495.75,504.25,494.5,503,7.5,503.5,108790,168840
"17",2014-04-22,489,500,487.25,496,7.5,496.25,162856,204789
"18",2014-04-21,494,494,485.5,488,6.5,488.5,116521,225747
"19",2014-04-17,497.5,501.25,493,494,2.5,494.75,102905,243028
"20",2014-04-16,502.5,505,495.25,497.5,6.5,497.5,104181,262613
"21",2014-04-15,502.75,506.75,497.5,503.5,0.5,503.75,135447,291045
"22",2014-04-14,498.25,507,497.5,503.5,4,503,114167,307968
"23",2014-04-11,499,505.25,497.5,498,2.5,498.5,148430,353193
"24",2014-04-10,502,503,494,500,1,501.25,154597,382915
"25",2014-04-09,506.25,519,500,502.5,4.5,502.25,267514,417226
"26",2014-04-08,498.5,507.75,496.25,506,7.5,507,139937,440151
"27",2014-04-07,500.25,502.5,494.5,499.5,2,499.25,158916,469406
"28",2014-04-04,498.5,502.5,492.75,502,1.5,501.75,104110,482614
"29",2014-04-03,497,501,494,499,4.5,500,109032,492668
"30",2014-04-02,506.75,507.5,490.5,496,11.5,495.75,159371,504958
"31",2014-04-01,501.5,512.5,501.25,507,5,507.5,173297,508663
"32",2014-03-31,490.25,503.75,475,502,10,502,285117,526501
"33",2014-03-28,491,496.25,489,490,NA,492,120358,530465
"34",2014-03-27,484,492.75,482,491,7,492,134141,527276
"35",2014-03-26,486,487.75,482.5,485.5,2,484.5,79353,536016
"36",2014-03-25,489.5,490,485,486,3,486.5,86447,538718
"37",2014-03-24,479,491,478.5,490,11,490,112136,538907
"38",2014-03-21,478.5,481,476,477,0,479,87347,548999
"39",2014-03-20,487,487.5,478,478.5,9.5,478.5,104809,554226
"40",2014-03-19,485.75,491.75,482.25,487.5,1,487.75,115612,558109
"41",2014-03-18,478.25,487,477,486,7.5,486.25,92111,558200
"42",2014-03-17,484.5,487.5,476.5,477.5,7,479,85476,560779
"43",2014-03-14,484,489,478.5,485.5,1,486,108277,564601
"44",2014-03-13,487,493.25,482.25,484,3,485,119031,574557
"45",2014-03-12,483,489,476.5,488,5.5,488.5,131096,571402
"46",2014-03-11,477,485,473.25,483.5,5,483.25,146301,572803
"47",2014-03-10,486.5,487.75,475.5,477,10.5,478.25,177677,575046
"48",2014-03-07,490,502.5,484.5,488,2,489,195726,575305
"49",2014-03-06,480.25,492.5,478.5,490,9,491,165677,567693
"50",2014-03-05,483,488,479.25,481.5,2.5,482,190621,572252
"51",2014-03-04,469.5,485,465.25,484.5,13.5,484.25,200192,560969
"52",2014-03-03,464.75,482.75,464,470,7,470.5,263648,559262
"53",2014-02-28,454,465,453.5,463,9,463.5,158488,558293
"54",2014-02-27,460,463.5,453.5,454,6,454.5,213741,551586
"55",2014-02-26,460.25,465,457,458.5,0.5,461,152991,532292
"56",2014-02-25,457,461.75,454,461,3,461.25,135954,518190
"57",2014-02-24,457.5,458.75,452,458,1.5,457.75,154585,500082
"58",2014-02-21,462,463,456.25,458,3.5,459,152129,490710
"59",2014-02-20,459.25,462.75,457.5,462.5,2,462.25,159872,465689
"60",2014-02-19,454.25,461,454,460.5,4.5,460.25,199273,431329
"61",2014-02-18,450,455.75,450,455,4.5,455.5,100420,408181
"62",2014-02-14,446,451.5,443.25,NA,NA,450.75,133552,386598
"63",2014-02-13,445.75,448,444.75,NA,NA,446.5,128639,367214
"64",2014-02-12,446.25,451,444.5,NA,NA,446,137298,331607
"65",2014-02-11,448.5,449.75,443,NA,NA,447.25,142592,304101
"66",2014-02-10,448.5,454.5,445.5,NA,NA,448.75,150767,288508
"67",2014-02-07,448,450.5,445.75,NA,NA,450,111161,282453
"68",2014-02-06,447,451.75,446,NA,NA,448.5,101559,271069
"69",2014-02-05,447,448.5,445,NA,NA,447.5,77141,262507
"70",2014-02-04,441.25,448,440.5,NA,NA,447.75,58774,255328
"71",2014-02-03,438.75,444.5,438.75,NA,NA,441.75,70024,245175
"72",2014-01-31,438.25,441,437,NA,NA,439.5,66040,239192
"73",2014-01-30,434,440.75,433.75,NA,NA,439.5,69343,237468
"74",2014-01-29,437.25,437.75,433.25,NA,NA,434,64338,232035
