"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2014-09-12,333.5,335,330.25,NA,7.25,339,325,308
"2",2014-09-11,338,338,329,335,7,331.75,1631,1703
"3",2014-09-10,336,340.75,335,336.5,2.5,338.75,1299,2701
"4",2014-09-09,338.75,338.75,334.75,336.5,3,336.25,1597,3736
"5",2014-09-08,345,348,336.75,340.5,7.25,339.25,895,4236
"6",2014-09-05,336.25,347.5,335.25,346,10.75,346.5,3183,6394
"7",2014-09-04,341.25,342.25,333.25,336,5,335.75,4936,8215
"8",2014-09-03,355,355,340.5,340.5,14,341.25,11490,14489
"9",2014-09-02,357.5,360.75,355,355,3.25,355.75,11124,19254
"10",2014-08-29,360,361.75,356,358.75,2.75,359,30599,27125
"11",2014-08-28,355.25,362,354.75,360.5,5.75,361.75,71113,50973
"12",2014-08-27,355,356.5,352.5,355.75,NA,356,72433,74305
"13",2014-08-26,359,359.5,353.5,354.75,4,356,85567,97117
"14",2014-08-25,363.5,364.25,358.75,359.25,5.5,360,78302,113234
"15",2014-08-22,361.25,367,361.25,364.5,3.25,365.5,106818,171441
"16",2014-08-21,358.75,366,358,362,2.75,362.25,98175,179937
"17",2014-08-20,361.5,362,356.25,359.5,3,359.5,95479,198394
"18",2014-08-19,360,363.25,356.5,362.5,1.75,362.5,79608,214031
"19",2014-08-18,365.5,370,359.75,360.25,5,360.75,78113,232761
"20",2014-08-15,361,368,360.5,365.5,3.75,365.75,74395,243499
"21",2014-08-14,357.75,362.75,355,362.25,4,362,67793,258033
"22",2014-08-13,358,361,354.5,358,0.5,358,109657,284771
"23",2014-08-12,355.5,362,347.75,358.5,1.75,358.5,193799,323847
"24",2014-08-11,351,357.75,350.5,356.25,5,356.75,166261,365065
"25",2014-08-08,358.75,359.5,351.25,352,7.75,351.75,123347,398004
"26",2014-08-07,362,362.75,355.75,359,3.75,359.5,132926,434742
"27",2014-08-06,355.75,364,355.5,363,7,363.25,74891,444619
"28",2014-08-05,358,358.25,353,355.75,2.5,356.25,65584,455658
"29",2014-08-04,351.5,361.25,351.5,359.25,6.25,358.75,75355,464043
"30",2014-08-01,357,358.75,351.5,351.5,4.5,352.5,72880,477976
"31",2014-07-31,360.5,361.5,356.75,357,4.75,357,68257,482210
"32",2014-07-30,361,364.25,357.75,361,0.25,361.75,78258,487199
"33",2014-07-29,367.5,368.5,358.5,361.5,6.25,361.5,75808,495687
"34",2014-07-28,363,369.25,363,367.25,4.75,367.75,62724,500907
