"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2016-03-14,366,367.75,364.25,364.5,0.75,366.75,387,669
"2",2016-03-11,362.5,366.25,362.25,366.25,3.5,366,1779,1706
"3",2016-03-10,358.5,363,357.75,365,3.5,362.5,773,2114
"4",2016-03-09,358.75,360,356,359,0.25,359,1744,3165
"5",2016-03-08,355,361,354.25,358.5,3.75,358.75,1194,3705
"6",2016-03-07,357.5,358.5,354.5,354.5,0.5,355,1174,6674
"7",2016-03-04,354,357.75,353.5,355,0.75,354.5,2248,7846
"8",2016-03-03,354,355.5,351.75,354,0.75,353.75,4021,9878
"9",2016-03-02,353.75,355.5,352.5,354.25,0.75,354.5,2201,11204
"10",2016-03-01,353.5,355,353,353.5,0.25,353.75,10558,16103
"11",2016-02-29,355,357,353,353.5,1,353.5,21576,23849
"12",2016-02-26,355.5,356.25,352.5,354.5,1,354.5,113427,70946
"13",2016-02-25,359.75,361.5,355,355,4.25,355.5,125257,120411
"14",2016-02-24,362,362.75,358.75,359,2.25,359.75,139649,164713
"15",2016-02-23,367,367.25,361.5,362,5.5,362,103308,194169
"16",2016-02-22,366.5,369.25,366.25,367,2,367.5,189448,234630
"17",2016-02-19,365.25,367.5,364.75,365,NA,365.5,178432,297265
"18",2016-02-18,367,368,365.25,365,1.75,365.5,214234,345630
"19",2016-02-17,362.75,367.5,362,367,4.25,367.25,146548,370828
"20",2016-02-16,359.75,363.5,359,362,4.25,363,188054,402063
"21",2016-02-12,361,362,358.25,359,1.5,358.75,169831,423379
"22",2016-02-11,360,363.25,358.5,361.25,NA,360.25,219260,435724
"23",2016-02-10,361,361.75,359.25,360.25,0.75,360.25,148373,469636
"24",2016-02-09,362.25,362.75,359.25,361,1.25,361,262404,485639
"25",2016-02-08,366,367,361.5,362,3.5,362.25,205751,524398
"26",2016-02-05,369,369.5,365.5,365.75,2.75,365.75,211533,571053
"27",2016-02-04,371,373.5,368,368.25,2.5,368.5,169624,583358
"28",2016-02-03,372,373.25,370.25,371,1.5,371,143070,585645
"29",2016-02-02,371.25,373.75,369,372.25,1.25,372.5,190795,588307
"30",2016-02-01,371,371.75,367.75,371,0.75,371.25,129483,603521
"31",2016-01-29,365.25,372.5,365,371.25,6.5,372,201077,606956
"32",2016-01-28,368.75,370.25,365,365,3.75,365.5,332276,621800
"33",2016-01-27,368.75,371,367.5,369,NA,369.25,165294,620023
"34",2016-01-26,369.25,372,367,368.75,0.5,369.25,156481,638491
"35",2016-01-25,370,372.5,366.5,369.5,0.5,369.75,141452,653797
"36",2016-01-22,366.75,371.5,366.5,369,3.25,370.25,154634,659902
"37",2016-01-21,368.75,372,365.5,366.75,1.75,367,231438,671641
"38",2016-01-20,367.5,369.25,365.25,368.5,1,368.75,180893,677280
"39",2016-01-19,364,369.5,364,367.5,4.5,367.75,409368,691677
"40",2016-01-15,358,363.5,356,363,5.25,363.25,169959,696238
"41",2016-01-14,357.75,360.25,355.5,357.5,NA,358,151882,701983
"42",2016-01-13,356,360.75,355.5,357.25,1.25,358,199960,710005
"43",2016-01-12,352,363.75,349.5,356,5,356.75,279985,725476
"44",2016-01-11,357,357.25,349.5,351.75,5.25,351.75,160604,719406
"45",2016-01-08,353,357.75,352.75,356.75,4,357,166521,727244
"46",2016-01-07,353.25,354.25,348.5,353,0.25,353,137217,727995
"47",2016-01-06,353.5,354.75,350.25,353.25,0.25,353.25,124631,730600
"48",2016-01-05,352.75,356,351.75,353,1.5,353,131960,727298
"49",2016-01-04,359.5,360,350.5,352,7.25,351.5,170742,714792
"50",2015-12-31,358.5,360.25,357.5,358.25,0.25,358.75,68098,709297
"51",2015-12-30,362.5,364,358,358.75,3.5,359,90945,704409
"52",2015-12-29,361,363,357,361.5,1.5,362.5,112101,696219
"53",2015-12-28,363.75,365.5,360.5,361,3.5,361,89773,691101
"54",2015-12-24,365,365.75,363.5,364.5,1,364.5,51661,697568
"55",2015-12-23,366.5,367.75,364.5,365.25,0.75,365.5,85671,690004
"56",2015-12-22,372,374.5,366,366,5.75,366.25,106848,692396
"57",2015-12-21,374,377,369.75,371.75,2.5,372,118060,689531
"58",2015-12-18,374.25,379.5,372.75,374.5,0.25,374.5,170593,691739
"59",2015-12-17,370.25,375,362.5,374.75,4.5,374.25,257355,696603
"60",2015-12-16,377,377.75,369.25,370.25,7.5,369.75,148573,695849
"61",2015-12-15,378.25,379.5,375.75,376.75,1.75,377.25,91641,709663
"62",2015-12-14,375,379.75,374.25,378.25,3.75,379,116097,713630
"63",2015-12-11,378.75,380.25,374.5,375.25,4,375.25,123406,718216
"64",2015-12-10,373.75,379.75,372.25,379,5.5,379.25,146149,718064
"65",2015-12-09,373.5,379.25,370.25,373.75,0.25,373.75,172611,718414
"66",2015-12-08,373.25,375.25,372.5,374,0.5,373.5,105345,719334
"67",2015-12-07,380.75,382,372.5,373,8.5,373,140252,731184
"68",2015-12-04,376.75,381.75,376.25,381,4.5,381.5,127960,737757
"69",2015-12-03,370,378,367.75,376,6.75,377,173368,730056
"70",2015-12-02,373.5,373.75,370,370,3.5,370.25,110495,726148
"71",2015-12-01,372.25,375.5,371,373.5,1.5,373.75,142518,716250
"72",2015-11-30,367,374,366.25,372,5,372.25,171966,718022
"73",2015-11-27,372,372.5,367,367.25,5.5,367.25,121704,682448
"74",2015-11-25,369.5,373,369.25,371.5,3.25,372.75,192758,646937
"75",2015-11-24,372.5,372.75,369,369,3.5,369.5,179147,613916
"76",2015-11-23,368.75,373.5,366.5,372,3.25,373,173889,588796
"77",2015-11-20,369,372.5,368.5,369.25,0.5,369.75,145776,577455
"78",2015-11-19,368,371.5,366.5,368,2,370.25,122457,557731
"79",2015-11-18,367.5,370.25,365.25,368,0.25,368.25,185176,548511
"80",2015-11-17,366.75,369,364.5,366.25,1.25,368,138370,539836
"81",2015-11-16,365.5,368,364.25,366.75,1.25,366.75,87190,523670
"82",2015-11-13,369,369.75,365.25,365.5,4,365.5,113681,510769
"83",2015-11-12,369.5,370.75,366.75,368.75,0.5,369.5,184256,479969
"84",2015-11-11,369,371.25,368,370,2,370,191129,448078
"85",2015-11-10,376.25,376.5,365,368.75,8,368,238132,409273
"86",2015-11-09,381.25,384.25,375.75,375.75,5.75,376,164506,386290
"87",2015-11-06,383,383.25,378.5,381.75,1,381.75,106860,357358
"88",2015-11-05,387.25,387.5,382,382.25,5.5,382.75,104996,337734
"89",2015-11-04,387.75,391.5,385,388.25,0.5,388.25,122328,329417
"90",2015-11-03,385.25,390.5,384.25,387.5,3.5,388.75,112237,325680
"91",2015-11-02,390.75,391,384.75,385.25,6.25,385.25,73848,317726
"92",2015-10-30,389.25,393,388.75,391,1.75,391.5,62505,308497
"93",2015-10-29,386,390.25,385.25,389,3.75,389.75,47832,305074
"94",2015-10-28,389.25,390.25,385.25,386.5,3.75,386,56755,299222
"95",2015-10-27,392.75,396.75,388.75,389,3.75,389.75,88970,293122
"96",2015-10-26,388.75,394.5,386.75,393,4.75,393.5,70613,293473
"97",2015-10-23,387.25,389,384,389,0.75,388.75,73693,283020
"98",2015-10-22,390,392.75,387,388,2.25,388,41948,275890
"99",2015-10-21,387.5,390.75,385.25,389,3,390.25,107443,262480
"100",2015-10-20,383.5,388.5,382.75,386.75,3.5,387.25,67710,259795
"101",2015-10-19,387.75,388.25,383.25,383.75,4,383.75,28072,255135
"102",2015-10-16,386.5,388.75,383.75,387.75,1.25,387.75,28463,252350
"103",2015-10-15,389.5,390.5,386,386.5,3.25,386.5,25739,245682
"104",2015-10-14,395.5,397.25,389.25,390.5,5.75,389.75,29749,246276
"105",2015-10-13,391.75,395.75,390,395,3.75,395.5,22034,242841
"106",2015-10-12,393,395.75,390.75,391.25,1.75,391.75,32466,240964
"107",2015-10-09,401.5,404.75,392,392.75,8.25,393.5,55248,240269
"108",2015-10-08,405,406.25,401,402.25,4.5,401.75,37735,242951
"109",2015-10-07,407.75,410,404.25,405.5,2.25,406.25,47330,243521
"110",2015-10-06,403,409.25,402.25,407.75,4.75,408.5,59258,249726
"111",2015-10-05,399.25,404,399.25,404,4.25,403.75,23119,248895
"112",2015-10-02,399,401.5,394.5,400,0.25,399.5,51075,252955
"113",2015-10-01,398.5,403.75,396,399.25,1,399.75,27638,251615
"114",2015-09-30,399.75,405,394.25,399.75,1,398.75,72831,246916
"115",2015-09-29,398.25,400.5,396.25,400,1.75,399.75,56937,240981
"116",2015-09-28,399.5,403.5,394.75,396.5,2.25,398,19979,239814
