"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2014-03-14,484.5,484.75,480.5,NA,120,472.25,316,515
"2",2014-03-13,483.75,486.25,477.5,483.5,NA,484.25,1168,1150
"3",2014-03-12,477.75,484.5,472,484.5,62,484.25,1137,1938
"4",2014-03-11,471.75,480,468.25,478,60,478,1424,2879
"5",2014-03-10,479,481.25,470.25,473,9,472,1694,3772
"6",2014-03-07,485.25,495,478,NA,4.5,481,7141,7124
"7",2014-03-06,474.25,487.25,473.75,486,10,485.75,4551,9080
"8",2014-03-05,475,481,472.25,NA,NA,475.25,6802,11533
"9",2014-03-04,462.75,477.5,458,476.5,12.5,476.75,11017,17412
"10",2014-03-03,459,476.25,457.25,465,6,464,21627,25472
"11",2014-02-28,448,458.75,447.75,458,9,457.5,37182,38695
"12",2014-02-27,455,458,447,447,7,448,141868,92724
"13",2014-02-26,454.75,459,452,452,0.5,455.5,113557,129328
"14",2014-02-25,451,456.25,448.25,455,4.5,455.75,125456,163274
"15",2014-02-24,451.5,452.75,445.5,451,1,451.5,142118,200173
"16",2014-02-21,455.5,456.5,450.25,452.5,2.5,453,145346,244376
"17",2014-02-20,453.25,456.5,451,456.5,2,455.75,191899,268137
"18",2014-02-19,448.5,455.25,448.25,454.5,4.5,453.75,243252,307257
"19",2014-02-18,445,450,444.5,449,4.5,449.5,140856,332167
"20",2014-02-14,440.25,446,438,NA,NA,445.25,178106,354555
"21",2014-02-13,439.75,442,439,NA,NA,440.5,175116,370988
"22",2014-02-12,440.75,445.75,439.25,NA,NA,440,210407,403064
"23",2014-02-11,442.75,444,437.25,NA,NA,441.5,222465,438035
"24",2014-02-10,442.75,449,440,NA,NA,443,253980,462818
"25",2014-02-07,442.5,445,440.5,NA,NA,444.25,172337,481809
"26",2014-02-06,442.5,447.25,441.25,NA,NA,443,192671,498478
"27",2014-02-05,441,444,439,NA,NA,443.25,170599,521154
"28",2014-02-04,435.5,442,434.5,NA,NA,441.75,181700,529255
"29",2014-02-03,433.5,438.75,433.25,NA,NA,435.75,168997,548816
"30",2014-01-31,432.5,434.75,431.25,NA,NA,434,136180,563773
"31",2014-01-30,427.5,434.5,427.25,NA,NA,433.5,175648,571422
"32",2014-01-29,431.25,431.75,427,NA,NA,427.5,149060,580742
"33",2014-01-28,431,433.75,430.75,NA,NA,432,119610,586734
"34",2014-01-27,428.75,432.75,427,NA,NA,431.75,133233,592822
"35",2014-01-24,428.5,430.25,425.5,NA,NA,429.5,127514,605588
"36",2014-01-23,426,431.25,425.75,NA,NA,429,158101,605446
"37",2014-01-22,425,429,424.5,NA,NA,426.25,115230,617271
"38",2014-01-21,424,425.75,421,NA,NA,425,133526,623831
"39",2014-01-17,427,428,422.25,NA,NA,424,95820,627096
"40",2014-01-16,425.75,430,425,NA,NA,428,133073,634451
"41",2014-01-15,431,431.5,425.5,NA,NA,425.75,119249,635767
"42",2014-01-14,433.5,434,427.25,NA,NA,431.5,157928,646057
"43",2014-01-13,431.75,435.5,430.5,NA,NA,434.5,218088,653348
"44",2014-01-10,411.5,433,406.25,NA,NA,432.75,366407,654595
"45",2014-01-09,416,416.75,408,NA,NA,412,227844,654571
"46",2014-01-08,425.25,427.75,414,NA,NA,417,223358,638108
"47",2014-01-07,427,430,425.25,NA,NA,426,125531,642168
"48",2014-01-06,423.5,428,423.5,NA,NA,427.75,97529,646371
"49",2014-01-03,420.5,424,417,NA,NA,423.5,110986,643481
"50",2014-01-02,422,427.25,418.5,NA,NA,420.5,136702,644246
"51",2013-12-31,423.5,423.5,421,NA,NA,422,77083,643265
"52",2013-12-30,426.5,426.75,423,NA,NA,423.5,60897,645652
"53",2013-12-27,426.25,429,426,NA,NA,427.5,53179,638546
"54",2013-12-26,433,433,426,NA,NA,426.25,73578,635869
"55",2013-12-24,433.5,435.75,431.75,NA,NA,434.5,28720,638156
"56",2013-12-23,433,436,431.75,NA,NA,434.25,67433,644092
"57",2013-12-20,429.75,434.25,427.5,NA,NA,433.25,94008,649335
"58",2013-12-19,425,431,424.25,NA,NA,430.5,100418,651882
"59",2013-12-18,426,429.75,423,NA,NA,425,82519,657917
"60",2013-12-17,423,429,422,NA,NA,426.75,90477,661011
"61",2013-12-16,425.75,426.5,420.5,NA,NA,423.25,116391,664401
"62",2013-12-13,433.5,435,425,NA,NA,425.5,106412,670124
"63",2013-12-12,438.5,439,428,NA,NA,434.25,147295,674982
"64",2013-12-11,436,439.75,434.25,NA,NA,439.25,75762,679537
"65",2013-12-10,437,440.75,430.75,NA,NA,436,139179,685076
"66",2013-12-09,433.75,438.5,432.5,NA,NA,438,84654,682583
"67",2013-12-06,433.25,436.75,430,NA,NA,434.25,95120,686659
"68",2013-12-05,435.75,437.75,431,NA,NA,433.5,101565,685524
"69",2013-12-04,430.75,439.5,426.5,NA,NA,436.5,155070,690129
"70",2013-12-03,424.5,432.25,423,NA,NA,431.25,116742,693933
"71",2013-12-02,422.75,425,418.5,NA,NA,424.5,106258,691783
"72",2013-11-29,426.5,427,421.75,NA,NA,424.5,69933,685228
"73",2013-11-27,424,429.75,423.5,NA,NA,426.5,170876,671499
"74",2013-11-26,431,431.5,422.25,NA,NA,424.75,185122,653730
"75",2013-11-25,429,433,428.75,NA,NA,431.25,108148,626869
"76",2013-11-22,429,432.25,427,NA,NA,429.25,144636,611213
"77",2013-11-21,425,430.75,424.5,NA,NA,429.5,150377,588878
"78",2013-11-20,426,427.75,423.5,NA,NA,425.25,106734,571946
"79",2013-11-19,421,427.5,420,NA,NA,426.25,142904,546506
"80",2013-11-18,430,430.75,420.5,NA,NA,421,157716,520206
"81",2013-11-15,436,439.75,430,NA,NA,430.5,141848,505259
"82",2013-11-14,440,441.5,435.5,NA,NA,436.5,116737,485647
"83",2013-11-13,443.5,445.75,439.25,NA,NA,440.25,173425,449879
"84",2013-11-12,446.25,449.5,442,NA,NA,444,89771,430587
"85",2013-11-11,438.5,449,438.5,NA,NA,446.5,154336,408193
"86",2013-11-08,430.5,440.75,426.75,NA,NA,438.5,189829,382501
"87",2013-11-07,431,434.5,430,NA,NA,431.5,144067,359857
"88",2013-11-06,435,436.5,431,NA,NA,431.5,113428,333200
"89",2013-11-05,436,437.5,434.25,NA,NA,435.5,81101,324325
"90",2013-11-04,436.5,439.5,436,NA,NA,437,74377,318081
"91",2013-11-01,438.75,440,436.25,NA,NA,437.5,93031,306708
"92",2013-10-31,441.75,447.5,438.25,NA,NA,439.25,113554,293075
"93",2013-10-30,443.75,446.75,441,NA,NA,441.75,67759,286522
"94",2013-10-29,442.75,446.5,441,NA,NA,444.25,67704,276874
"95",2013-10-28,451,452,442.5,NA,NA,443.25,75447,271409
"96",2013-10-25,452,454.25,451.25,NA,NA,452,51510,265982
"97",2013-10-24,455,457,450.75,NA,NA,452.5,62555,261974
"98",2013-10-23,450.75,458.75,450.25,NA,NA,455.25,57177,251246
"99",2013-10-22,456,457,449.25,NA,NA,451,22308,247386
"100",2013-10-21,453.25,457.25,450.5,NA,NA,456.75,29006,244872
"101",2013-10-18,455,460,453.25,NA,NA,454,28235,242667
"102",2013-10-17,454.5,458.75,453.75,NA,NA,455.5,38180,242837
"103",2013-10-16,455.5,458,451.5,NA,NA,455.25,37867,238605
"104",2013-10-15,449.5,456.5,449,NA,NA,455.75,33856,233886
"105",2013-10-14,445.5,450,445,NA,NA,449.75,27466,228983
"106",2013-10-11,449.25,449.75,445.25,NA,NA,446.25,22072,225308
"107",2013-10-10,456,459.25,449.25,NA,NA,451,27880,224960
"108",2013-10-09,454.25,459.5,453.25,NA,NA,456.25,35199,223458
"109",2013-10-08,461,461.75,452.5,NA,NA,454.5,37344,219459
"110",2013-10-07,455.5,462,454.5,NA,NA,461.75,57447,215534
"111",2013-10-04,452.25,456.75,451.75,NA,NA,456,16737,214651
"112",2013-10-03,451.75,456.5,451,NA,NA,452,16963,211505
"113",2013-10-02,451.75,453.75,448,NA,NA,451.75,25083,205392
"114",2013-10-01,454.5,457.5,448,NA,NA,451.75,30174,198851
"115",2013-09-30,465.25,474.25,453.5,NA,NA,454.5,46217,196973
"116",2013-09-27,469.5,471.5,465.75,NA,NA,466.5,22948,195308
"117",2013-09-26,467,470.25,463.5,NA,NA,469.5,19258,191445
"118",2013-09-25,461,469.5,460.75,NA,NA,467.25,14882,190613
"119",2013-09-24,465,469.5,460.5,NA,NA,461.5,15889,189916
"120",2013-09-23,463,467.75,461,NA,NA,466,15065,188609
"121",2013-09-20,472,472.25,462.5,NA,NA,463.75,27143,186756
"122",2013-09-19,469.5,475.75,468,NA,NA,472,19223,183608
"123",2013-09-18,466.5,469.75,464.5,NA,NA,468.75,31504,179448
"124",2013-09-17,469.75,480.5,465.75,NA,NA,466.5,26225,176249
"125",2013-09-16,470,474.25,466.5,NA,NA,469,14220,172704
"126",2013-09-13,476.75,478,470.25,NA,NA,471.5,21633,170468
"127",2013-09-12,484.5,484.75,468.5,NA,NA,478.5,58520,166731
"128",2013-09-11,482,485.5,479,NA,NA,484.75,31939,164205
"129",2013-09-10,475.25,482.5,474,NA,NA,481.75,29490,157272
"130",2013-09-09,481.25,483.5,474.25,NA,NA,476.5,20132,154854
"131",2013-09-06,474,481.5,472.75,NA,NA,481,22938,152893
"132",2013-09-05,482,482,470,NA,NA,474,20825,150459
"133",2013-09-04,488,488,479,NA,NA,482.5,21406,148139
"134",2013-09-03,502,506,482.75,NA,NA,488,31335,146611
"135",2013-08-30,493,496.75,489,NA,NA,494.5,14520,143578
"136",2013-08-29,493.75,496.25,490,NA,NA,494.25,20341,139329
"137",2013-08-28,498.75,504.5,491.5,NA,NA,493.5,16949,138596
"138",2013-08-27,511.5,515.75,498,NA,NA,498.75,24057,138913
"139",2013-08-26,489.5,520,489.5,NA,NA,512.5,39085,138834
"140",2013-08-23,477.75,486.5,476.5,NA,NA,482.25,16384,137889
"141",2013-08-22,494,494,476.75,NA,NA,477,26150,137727
"142",2013-08-21,488,497.5,486.5,NA,NA,495.75,21506,135656
"143",2013-08-20,497,499,486.5,NA,NA,488.5,21718,132176
"144",2013-08-19,485,498.5,480.5,NA,NA,497.75,34910,127982
"145",2013-08-16,485,487.75,473.5,NA,NA,476,22014,128137
"146",2013-08-15,469.25,487.75,466.75,NA,NA,484.5,34171,122874
"147",2013-08-14,460.75,469,460,NA,NA,468.25,24341,121146
"148",2013-08-13,477.25,482,459,NA,NA,460.75,31268,120760
"149",2013-08-12,468,482.25,460,NA,NA,477.25,35349,117768
"150",2013-08-09,473,476,465.5,NA,NA,466.75,29683,113899
"151",2013-08-08,471.5,477.25,470,NA,NA,473.25,20790,110597
"152",2013-08-07,472.5,477.5,469.25,NA,NA,471.5,23054,107319
"153",2013-08-06,473.25,475,468,NA,NA,472.5,23648,101371
"154",2013-08-05,475,477.25,468.75,NA,NA,473.5,13365,97657
"155",2013-08-02,480,482.25,475.25,NA,NA,476.5,16420,96738
"156",2013-08-01,491.5,491.5,476.75,NA,NA,479.75,17034,98198
"157",2013-07-31,489.5,493,486,NA,NA,491.5,15766,94823
"158",2013-07-30,486,491.5,486,NA,NA,490.25,17128,94341
"159",2013-07-29,488,491.75,484,NA,NA,486,11634,90606
"160",2013-07-26,491,493.5,487.5,NA,NA,488.75,11841,89538
"161",2013-07-25,493,495.5,487.75,NA,NA,491.25,22106,91347
"162",2013-07-24,498.25,501.25,492,NA,NA,492.75,9198,90583
"163",2013-07-23,508.25,508.25,494.5,NA,NA,498,26704,85464
"164",2013-07-22,515,515,505.25,NA,NA,510.25,11511,84898
"165",2013-07-19,512.25,514,503.25,NA,NA,512.75,17847,85726
"166",2013-07-18,512.25,513.75,506.5,NA,NA,513,10262,83763
"167",2013-07-17,524.75,527,513.75,NA,NA,514.25,10426,81689
"168",2013-07-16,520,530.25,518,NA,NA,523,11519,79868
"169",2013-07-15,517.75,519.75,510.25,NA,NA,515.75,11314,79498
"170",2013-07-12,538,539,519.25,NA,NA,521.5,14050,80553
"171",2013-07-11,533.5,540,522,NA,NA,539.25,15673,78965
"172",2013-07-10,533.5,539.25,528.75,NA,NA,533.5,16304,77124
"173",2013-07-09,514,536.25,514,NA,NA,533.5,15234,76546
"174",2013-07-08,503,514.25,502.25,NA,NA,512.25,10733,76311
"175",2013-07-05,515,518.25,503.25,NA,NA,503.5,15568,75492
"176",2013-07-03,516,521.25,510.75,NA,NA,514.75,15035,71500
"177",2013-07-02,513,517.75,508.25,NA,NA,514.75,15072,70899
"178",2013-07-01,519.25,519.75,512.25,NA,NA,513,16410,68543
"179",2013-06-28,549,550.75,521,NA,NA,521.75,25245,69152
"180",2013-06-27,554.5,554.5,545.75,NA,NA,549.25,10335,67300
"181",2013-06-26,555.5,560.25,552.25,NA,NA,554.25,10647,67225
"182",2013-06-25,557,561.75,552,NA,NA,555,7042,66642
"183",2013-06-24,559.5,560,553,NA,NA,557,6329,66059
"184",2013-06-21,570.25,575.5,564.5,NA,NA,567,6081,66123
"185",2013-06-20,578,579,562.75,NA,NA,571,7942,66222
"186",2013-06-19,560,581.5,557.75,NA,NA,581.25,15647,65414
"187",2013-06-18,549.5,561.75,546.75,NA,NA,561.25,11628,63612
"188",2013-06-17,539.75,552.25,537,NA,NA,549.25,9604,62303
"189",2013-06-14,545.25,547.75,541.5,NA,NA,544,5298,61960
"190",2013-06-13,549.5,549.5,540,NA,NA,546.5,8890,60693
"191",2013-06-12,561.5,561.75,543,NA,NA,548.25,10015,59250
"192",2013-06-11,556.5,564,551.5,NA,NA,561.5,9247,57712
"193",2013-06-10,562.75,564.25,550.75,NA,NA,556.5,5379,56000
"194",2013-06-07,558,569.75,557.5,NA,NA,568.75,8104,57728
"195",2013-06-06,552,560,550,NA,NA,558.75,3038,57497
"196",2013-06-05,563,563.75,551.5,NA,NA,552.75,5908,56764
"197",2013-06-04,568.25,568.75,556.75,NA,NA,563.5,4221,56272
"198",2013-06-03,574,582.75,562.75,NA,NA,570.25,12496,58238
"199",2013-05-31,572.25,582.5,567.5,NA,NA,577,22893,49494
"200",2013-05-30,573.5,576.75,566.25,NA,NA,572.75,8238,47997
"201",2013-05-29,561,577.75,559.25,NA,NA,575.75,17025,46735
"202",2013-05-28,552.75,565,552.5,NA,NA,561.5,10925,46518
"203",2013-05-24,544.75,547.75,538,NA,NA,547.5,3340,46085
"204",2013-05-23,540.5,547.75,536.25,NA,NA,545.5,5449,45946
"205",2013-05-22,531,542,531,NA,NA,541,8631,46554
"206",2013-05-21,524.5,532.25,522.5,NA,NA,531.25,9916,43812
"207",2013-05-20,527.25,533,524.5,NA,NA,531,6073,42999
"208",2013-05-17,534,537,528,NA,NA,530,6441,42581
"209",2013-05-16,542,544,534,NA,NA,534.25,2735,42436
"210",2013-05-15,547.75,548.25,541.25,NA,NA,542.25,8186,40451
"211",2013-05-14,549.25,553.5,545.5,NA,NA,547.75,3008,39718
"212",2013-05-13,539,551,537.75,NA,NA,549.25,5556,38540
"213",2013-05-10,549.5,550,533.5,NA,NA,540,7306,38109
"214",2013-05-09,541,553,536.25,NA,NA,551.5,6608,36330
"215",2013-05-08,550,550,538.75,NA,NA,542.75,4090,35549
"216",2013-05-07,550,552,540.5,NA,NA,550,3352,35359
"217",2013-05-06,550,552.5,542.5,NA,NA,548.75,4127,34716
"218",2013-05-03,566.75,570.5,562.25,NA,NA,563.5,2931,34428
"219",2013-05-02,559.25,569.25,557.75,NA,NA,569,2917,34156
"220",2013-05-01,564.5,565,553.75,NA,NA,561,3493,33575
"221",2013-04-30,570,579,565.25,NA,NA,567,5971,33462
"222",2013-04-29,540.75,570,540.75,NA,NA,569.5,8492,32950
"223",2013-04-26,542,542.25,533.25,NA,NA,535,4995,31556
