"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2012-07-13,781,794,754,NA,NA,755.75,1141,625
"2",2012-07-12,757.75,782.75,750,NA,NA,771.25,3196,2358
"3",2012-07-11,760.5,785.25,732.25,NA,NA,750.75,4601,5036
"4",2012-07-10,773.5,778,757.5,NA,NA,761,4177,7174
"5",2012-07-09,751.25,786.75,751.25,NA,NA,775.25,4351,9033
"6",2012-07-06,764.5,766,732,NA,NA,743.25,5609,11275
"7",2012-07-05,735,776.75,732.5,NA,NA,768,10720,15882
"8",2012-07-03,702.5,724,698,NA,NA,718.75,7115,19007
"9",2012-07-02,682,696,679.75,NA,NA,692.5,8665,22098
"10",2012-06-29,653,676.25,650,NA,NA,672.5,31533,34013
"11",2012-06-28,649.25,663,644,NA,NA,652,81655,59387
"12",2012-06-27,645.5,670,641.25,NA,NA,649.5,87018,86430
"13",2012-06-26,633.75,652.5,629.5,NA,NA,646,116516,117167
"14",2012-06-25,602.75,631,602.75,NA,NA,631,114429,140392
"15",2012-06-22,589,600.5,588,NA,NA,591,111353,176194
"16",2012-06-21,610,611.5,586.5,NA,NA,586.5,158258,196760
"17",2012-06-20,610.5,616.75,605,NA,NA,611.75,112078,215046
"18",2012-06-19,602.75,617,600.25,NA,NA,612.5,143217,246760
"19",2012-06-18,584.75,607.25,576.25,NA,NA,599.5,136688,268618
"20",2012-06-15,600,605,579.25,NA,NA,579.5,151985,286417
"21",2012-06-14,592,608.5,591.75,NA,NA,601.5,145203,306187
"22",2012-06-13,582.25,602,575.5,NA,NA,592.5,215445,344357
"23",2012-06-12,595,599,575.5,NA,NA,584,154012,362307
"24",2012-06-11,598.5,603.75,588.75,NA,NA,592,139597,385139
"25",2012-06-08,593,605.5,585.25,NA,NA,598,160725,408818
"26",2012-06-07,585.75,601.5,584.5,NA,NA,594,162785,425415
"27",2012-06-06,569.25,586.5,569,NA,NA,586.25,130277,437181
"28",2012-06-05,568,575.75,560.5,NA,NA,567.5,157852,448342
"29",2012-06-04,560.25,569.5,557.75,NA,NA,568,92340,452195
"30",2012-06-01,557.75,579.5,551,NA,NA,551.5,178578,460142
"31",2012-05-31,560,564,553.75,NA,NA,555.25,149147,463909
"32",2012-05-30,563.75,568.25,553.5,NA,NA,559.5,149655,472222
"33",2012-05-29,580,583.75,557,NA,NA,562.5,180195,472230
"34",2012-05-25,583,589.5,573.25,NA,NA,578.5,149870,486640
"35",2012-05-24,605.25,609,576.75,NA,NA,578.5,187502,487823
"36",2012-05-23,601.25,611,588.5,NA,NA,603.5,165460,497764
"37",2012-05-22,629,634.75,595,NA,NA,597,192417,504739
"38",2012-05-21,638.25,644.5,628.75,NA,NA,633,130272,513939
"39",2012-05-18,622.75,638.5,619.5,NA,NA,635.5,169751,519944
"40",2012-05-17,619,626.5,616,NA,NA,625,133428,522739
"41",2012-05-16,597,620.75,590.75,NA,NA,620,156078,531070
"42",2012-05-15,582.5,597.75,581.5,NA,NA,597.25,114576,536758
"43",2012-05-14,582,586.75,576.25,NA,NA,583,107969,542456
"44",2012-05-11,589.5,592.5,572.25,NA,NA,581,183480,540915
"45",2012-05-10,609,612.25,585.5,NA,NA,587.5,206354,535775
"46",2012-05-09,622.5,623,605.5,NA,NA,607.25,145086,535922
"47",2012-05-08,620.5,632.25,618.5,NA,NA,623,166769,535190
"48",2012-05-07,615.75,621.25,612.25,NA,NA,620,104120,533812
"49",2012-05-04,614,626,604,NA,NA,620.25,172902,537670
"50",2012-05-03,611.75,616.75,607.5,NA,NA,614.5,109192,539489
"51",2012-05-02,627.75,629,610,NA,NA,611.5,161531,537831
"52",2012-05-01,632,634.25,625,NA,NA,629,121419,541598
"53",2012-04-30,625,635,620.5,NA,NA,634.25,133015,545926
"54",2012-04-27,608.5,629.5,606.25,NA,NA,625.5,236507,545272
"55",2012-04-26,603.75,609.5,599,NA,NA,607.5,184564,534295
"56",2012-04-25,607,617,600.75,NA,NA,601,185486,517203
"57",2012-04-24,612.5,621.75,605,NA,NA,608,180193,501699
"58",2012-04-23,603.25,612.5,600,NA,NA,612.5,128367,494275
"59",2012-04-20,612,619,599.5,NA,NA,603,171039,481364
"60",2012-04-19,595.5,614.5,595.25,NA,NA,612,170805,469452
"61",2012-04-18,608,609.25,591.75,NA,NA,594,231528,445529
"62",2012-04-17,613.25,618,606.5,NA,NA,607.25,113528,436907
"63",2012-04-16,618.5,618.75,611,NA,NA,613.25,92827,435201
"64",2012-04-13,631.25,633,616,NA,NA,620.75,119184,421310
"65",2012-04-12,627.75,635,627,NA,NA,629,139651,393269
"66",2012-04-11,627.75,630.25,622.75,NA,NA,627,139565,381385
"67",2012-04-10,641.25,645.25,625.25,NA,NA,625.75,156095,369200
"68",2012-04-09,649.5,657.5,640.5,NA,NA,641.25,101135,363412
"69",2012-04-05,651.25,657.5,648.5,NA,NA,652.25,75112,365143
"70",2012-04-04,655,658,645,NA,NA,650.75,95175,354379
"71",2012-04-03,649.5,659.75,647.75,NA,NA,653,106984,350529
"72",2012-04-02,646.75,655,642,NA,NA,651,104787,342098
"73",2012-03-30,605,643.75,603.75,NA,NA,643.25,137190,330840
"74",2012-03-29,619.5,622.5,602.5,NA,NA,603.75,93483,321163
"75",2012-03-28,630,634.5,618.25,NA,NA,619.5,84916,314471
"76",2012-03-27,636.75,642.75,629.75,NA,NA,630.75,56094,310146
"77",2012-03-26,644.25,652.75,635.75,NA,NA,636,75304,300882
"78",2012-03-23,643.5,650.25,640.25,NA,NA,644.5,35151,296153
"79",2012-03-22,643,646.5,636,NA,NA,642.75,46208,294910
"80",2012-03-21,646,649.5,640.5,NA,NA,641.25,52127,291816
"81",2012-03-20,661,661.5,642.25,NA,NA,646,62943,292743
"82",2012-03-19,670,673.25,659.75,NA,NA,661.5,47772,297079
"83",2012-03-16,665.5,671,663.25,NA,NA,670.25,49023,295956
"84",2012-03-15,656,669,655,NA,NA,667,65139,296137
"85",2012-03-14,656.75,661,651.75,NA,NA,656.75,68002,296568
"86",2012-03-13,652.5,661.25,651.75,NA,NA,658,68736,294165
"87",2012-03-12,642,657,640,NA,NA,654,69172,298621
"88",2012-03-09,636.5,652.25,632.5,NA,NA,644,80219,304891
"89",2012-03-08,639.5,646.75,633.5,NA,NA,637,62506,306340
"90",2012-03-07,655,657,638.75,NA,NA,640,64816,305893
"91",2012-03-06,660,661,650.25,NA,NA,655,58848,303216
"92",2012-03-05,655.5,665.75,653.75,NA,NA,662.25,61012,299053
"93",2012-03-02,655,657,648.75,NA,NA,656.25,59932,296800
"94",2012-03-01,658,660.5,653.25,NA,NA,655.5,58943,293862
"95",2012-02-29,657.25,663.25,655.5,NA,NA,660.5,60703,288791
"96",2012-02-28,648.25,659,647.75,NA,NA,658.75,55128,285120
"97",2012-02-27,644,651.5,639.5,NA,NA,650.75,59062,281133
"98",2012-02-24,643.25,647.25,638.75,NA,NA,646.5,52560,278784
"99",2012-02-23,644.25,649.25,638,NA,NA,644.75,67140,269801
"100",2012-02-22,637.5,646,633.75,NA,NA,644.25,49420,266819
"101",2012-02-21,649.25,651,632.75,NA,NA,637.5,55357,263371
"102",2012-02-17,641.75,653,641.5,NA,NA,648.25,49044,266769
"103",2012-02-16,634,643.5,629.75,NA,NA,642.75,52222,266293
"104",2012-02-15,641,645,632.5,NA,NA,634,40541,264396
"105",2012-02-14,645.75,647,639.25,NA,NA,641.5,57133,259995
"106",2012-02-13,641,650.25,640,NA,NA,646,68967,250013
"107",2012-02-10,646,646.75,636.5,NA,NA,639.25,43667,245548
"108",2012-02-09,651,659.75,641.25,NA,NA,645.75,72583,241850
"109",2012-02-08,652,657,641.25,NA,NA,652.25,90065,233170
"110",2012-02-07,654.5,656.5,651,NA,NA,652.5,56900,226354
"111",2012-02-06,651.5,659.25,650.25,NA,NA,656.25,44694,216627
"112",2012-02-03,653,656.5,648.5,NA,NA,655.5,41248,211915
"113",2012-02-02,651.25,656.75,644.75,NA,NA,653.5,54558,209520
"114",2012-02-01,648.5,659,648,NA,NA,651.75,47976,209212
"115",2012-01-31,641.25,651.25,640.75,NA,NA,648.75,61869,207743
"116",2012-01-30,649,651.75,637.25,NA,NA,641.25,37899,206970
"117",2012-01-27,643.25,652,640.5,NA,NA,651,32332,205620
"118",2012-01-26,643.25,654.5,642,NA,NA,643.75,56459,200862
"119",2012-01-25,637.5,646.5,635.25,NA,NA,644,56608,201648
"120",2012-01-24,629,644,624.5,NA,NA,638.5,62804,202415
"121",2012-01-23,621.25,630.5,621.25,NA,NA,629.75,49605,202288
"122",2012-01-20,616.5,622.5,611.25,NA,NA,620.25,48781,199513
"123",2012-01-19,605.5,617.25,605.25,NA,NA,616,60918,197005
"124",2012-01-18,617,618,604,NA,NA,604.75,48804,189167
"125",2012-01-17,614,0,0,NA,NA,615.75,43175,193743
"126",2012-01-13,620.25,627,610.75,NA,NA,612,45918,184957
"127",2012-01-12,662,671.25,623.25,NA,NA,623.25,67035,190614
"128",2012-01-11,663.5,667.75,658.5,NA,NA,663.25,53180,187733
"129",2012-01-10,664,670,660.5,NA,NA,664.5,41070,186089
"130",2012-01-09,655,674.25,654.75,NA,NA,664.5,37647,184673
"131",2012-01-06,655,663,654.25,NA,NA,655.75,29859,180448
"132",2012-01-05,671.75,674,653.25,NA,NA,657.25,49641,177196
"133",2012-01-04,673,676.75,668.25,NA,NA,673,37873,176173
"134",2012-01-03,674.5,679,668.25,NA,NA,673.75,45175,169386
"135",2011-12-30,651.5,663,649.75,NA,NA,661.25,24657,164023
"136",2011-12-29,653,660,649.75,NA,NA,652.5,26196,161492
"137",2011-12-28,645.5,659.5,644.25,NA,NA,656,23966,161152
"138",2011-12-27,639,650.5,639,NA,NA,647.25,19763,162615
"139",2011-12-23,631,636,629,NA,NA,634,15143,161478
"140",2011-12-22,630.75,639.5,627,NA,NA,632.25,24610,163112
"141",2011-12-21,621.5,634,616.5,NA,NA,631.75,28685,162296
"142",2011-12-20,615.25,623.5,611.75,NA,NA,622.25,15747,160365
"143",2011-12-19,601.25,618.75,599.5,NA,NA,616.25,23791,158562
"144",2011-12-16,594.25,602.5,593,NA,NA,598.5,24689,157564
"145",2011-12-15,595,598.75,591,NA,NA,594.25,28206,156235
"146",2011-12-14,609.25,612.5,595,NA,NA,595.75,17612,154675
"147",2011-12-13,609.25,615.25,606.25,NA,NA,609.25,16070,152014
"148",2011-12-12,607.25,611,599.5,NA,NA,608.5,18301,151604
"149",2011-12-09,614,617.25,600,NA,NA,609,26161,149203
"150",2011-12-08,605.75,616,599.25,NA,NA,614.5,23358,147685
"151",2011-12-07,610.75,614,601.75,NA,NA,606.75,20706,147462
"152",2011-12-06,606,611,595,NA,NA,610.75,36804,146907
"153",2011-12-05,610.75,616,604.25,NA,NA,606,32867,145213
"154",2011-12-02,614.5,618.5,607,NA,NA,608.75,33180,144290
"155",2011-12-01,619.25,623,609.5,NA,NA,614.25,36802,145720
"156",2011-11-30,615.25,625.75,605.5,NA,NA,618.75,22615,143433
"157",2011-11-29,609.25,623,605.25,NA,NA,615.75,24050,140283
"158",2011-11-28,603.5,613,603.25,NA,NA,609,27238,138022
"159",2011-11-25,605,611,598.5,NA,NA,599.25,13161,137194
"160",2011-11-23,616.5,617.75,601.25,NA,NA,605.75,26158,138188
"161",2011-11-22,615.5,618.75,611.75,NA,NA,615.75,18966,137322
