"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2014-12-12,389.75,398.5,388,397,6.5,396.25,1510,1605
"2",2014-12-11,382.5,390.5,382.5,389,7,390,5381,5449
"3",2014-12-10,382.5,384.75,377.75,380,0,382.5,5445,8966
"4",2014-12-09,377.25,383.75,374.75,381.5,5,383,7050,12855
"5",2014-12-08,380.5,386.25,376.5,378.5,4,377.5,6866,16325
"6",2014-12-05,375.25,382.5,372.25,380,5,381.5,3476,18243
"7",2014-12-04,368.5,376.75,367.5,376,7.5,376,9500,21212
"8",2014-12-03,367.5,369.5,364.25,369,1,368.75,7920,24040
"9",2014-12-02,375.25,376.75,367.5,368.5,7.5,367.75,13412,28812
"10",2014-12-01,374,377.75,370.25,375.5,0.5,375.5,18457,33437
"11",2014-11-28,377,380.25,370.25,377,2,375.75,28899,41429
"12",2014-11-26,374,378.75,373.75,378,4,378.25,162748,89339
"13",2014-11-25,367.5,375.25,366.25,374,6.5,374.25,152583,145976
"14",2014-11-24,372.25,372.75,365.5,367.5,5.5,367.5,157790,191254
"15",2014-11-21,372.75,381.5,369.75,371,0.5,372.75,203953,276456
"16",2014-11-20,363,374.75,362.5,373,10,373.25,191419,317200
"17",2014-11-19,371.75,372,362.75,363,8.75,363.25,201364,347871
"18",2014-11-18,377.5,378.75,371.25,372.25,5.5,372,164642,371699
"19",2014-11-17,381.5,384.25,374.25,378,4.25,377.5,165518,389753
"20",2014-11-14,385.5,387,380.5,381.5,4.5,381.75,159394,404377
"21",2014-11-13,377,389,377,385.75,8.5,386.25,298531,424617
"22",2014-11-12,373.5,385,372.75,377.75,4,377.75,337018,473151
"23",2014-11-11,368.25,374.5,365.5,374,4.5,373.75,223988,499916
"24",2014-11-10,366,378.75,364.75,369,1.75,369.25,310022,530315
"25",2014-11-07,370,371.75,364.25,367.5,3.75,367.5,207758,557039
"26",2014-11-06,369.5,374.5,366.5,370,1,371.25,172062,574554
"27",2014-11-05,364,371.75,359,369.5,5.75,370.25,212227,581045
"28",2014-11-04,372.5,372.5,364,364.25,9,364.5,177754,596323
"29",2014-11-03,374.5,375.25,370.5,373,3.25,373.5,157163,604872
"30",2014-10-31,372.75,378,368,375,2.75,376.75,190175,618089
"31",2014-10-30,374.75,381,371.5,373.75,1.25,374,202101,629009
"32",2014-10-29,364.25,376,362.5,375.25,10.75,375.25,215948,638826
"33",2014-10-28,362.5,371.75,361.25,364.75,1.5,364.5,221032,648853
"34",2014-10-27,351.75,363.75,348.5,362.75,10,363,171841,660516
"35",2014-10-24,359.25,365,352.25,352.5,6.75,353,161700,667119
"36",2014-10-23,352,360.25,351,359.75,6.75,359.75,143662,674164
"37",2014-10-22,355.5,361,352.25,352.25,3,353,172863,687769
"38",2014-10-21,347.5,358.75,347,356,7.75,356,158470,699404
"39",2014-10-20,345.25,349,342,347.75,0.25,348.25,140485,699400
"40",2014-10-17,351.75,355.75,346.5,347.75,4.25,348,126402,707984
"41",2014-10-16,347.75,353,345,353,4.5,352.25,137515,718838
"42",2014-10-15,356,358.25,346.5,347.5,9.5,347.5,182242,729460
"43",2014-10-14,345.5,357.5,343,357.25,11,357,194322,740833
"44",2014-10-13,333.5,347.5,330.5,346,12,346,141831,738792
"45",2014-10-10,343.25,348.5,332.5,334.75,10.75,334,233534,750283
"46",2014-10-09,342.5,348,340.75,344.25,1.5,344.75,171329,753204
"47",2014-10-08,340,343.5,337.5,343.25,2.75,343.25,125805,756993
"48",2014-10-07,331.75,342.25,330.5,341,8,340.5,217024,755449
