"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"1",2016-09-14,320.5,320.5,317.5,318,3,322.25,42,176
"2",2016-09-13,329.25,330,320,320.25,10,319.25,709,633
"3",2016-09-12,329.25,330.5,326,329.5,0.75,329.25,1200,1432
"4",2016-09-09,326.5,330.5,323.75,329,3,330,748,1900
"5",2016-09-08,322,326.75,321.5,326.25,6,327,1475,2802
"6",2016-09-07,316.25,322,315,321.75,4.25,321,2424,3191
"7",2016-09-06,316,317.75,312.25,315.5,0.25,316.75,2437,3789
"8",2016-09-02,311,317.75,311,316.5,5.5,316.5,3337,5319
"9",2016-09-01,302,311.5,301.75,310.25,9.5,311,11373,9646
"10",2016-08-31,304,307.25,301,302,2.5,301.5,23760,19043
"11",2016-08-30,311.75,312.75,303.5,304,7.75,304,123102,66033
"12",2016-08-29,316.25,318.75,310.75,312,4.5,311.75,111379,94676
"13",2016-08-26,323.5,325.25,315.75,316,7.25,316.25,73781,144554
"14",2016-08-25,327,328.5,322.25,323,4,323.5,73826,163255
"15",2016-08-24,328.25,330.5,325.5,327,1,327.5,59855,178092
"16",2016-08-23,333,333,326.5,328.25,4.75,328.5,62240,189291
"17",2016-08-22,333.75,334.5,330.5,332.5,1,333.25,58854,202615
"18",2016-08-19,332.25,334.75,330,332.5,2.25,334.25,75930,225745
"19",2016-08-18,330,333,326.5,331.75,1.75,332,62512,233785
"20",2016-08-17,327.25,330.75,327,330.25,2.75,330.25,90626,242828
"21",2016-08-16,326.75,329,324.25,327.5,1,327.5,63282,252791
"22",2016-08-15,321.25,329,321,326.25,4.25,326.5,62331,264963
"23",2016-08-12,320.5,323,312,320.25,1.25,322.25,130151,293469
"24",2016-08-11,322.25,323.75,320.5,320.5,1.5,321,104000,308388
"25",2016-08-10,322,325.5,321.25,322,0.25,322.5,128910,335791
"26",2016-08-09,325.25,326.75,322,322.5,3,322.25,95944,359853
"27",2016-08-08,324.25,327.5,322.5,325.5,1,325.25,127263,388894
"28",2016-08-05,320.5,325,320,324,3.5,324.25,117937,422893
"29",2016-08-04,325,326.75,320.5,320.5,4.25,320.75,70921,431183
"30",2016-08-03,323.75,328.75,322.25,325,0.75,325,74406,447789
"31",2016-08-02,325.25,327.5,319.5,322,1.5,324.25,99672,457394
"32",2016-08-01,332.5,333.75,325.5,325.75,8.75,325.75,71733,462734
"33",2016-07-29,331.25,335,328.75,333.75,3.25,334.5,88267,464648
"34",2016-07-28,335.75,338.5,329,331,4.5,331.25,71896,471914
"35",2016-07-27,332.5,338,331.75,334.75,3.25,335.75,69348,477108
"36",2016-07-26,333.5,336.5,331,332.75,2.25,332.5,77809,476446
"37",2016-07-25,335,338.25,330.25,334.5,0.25,334.75,71073,490506
"38",2016-07-22,334.5,336.75,326.75,334,0.75,335,90173,501032
"39",2016-07-21,337.75,341.75,332.75,334.25,3.25,334.25,81204,498293
"40",2016-07-20,344.25,346.5,335,338,4.25,337.5,97473,504311
"41",2016-07-19,356.5,356.5,341.5,344.75,15.25,341.75,76193,503359
"42",2016-07-18,352.25,357.5,348.25,357,4.75,357,76202,508684
"43",2016-07-15,356.5,361,343,352.25,5.5,352.25,94795,512249
"44",2016-07-14,362,373,355.5,356,4.25,357.75,97230,519516
"45",2016-07-13,353.25,367.5,352,363,9.75,362,113076,529206
"46",2016-07-12,349,355,342.5,351.75,4,352.25,118136,539160
"47",2016-07-11,360,360.75,344,349,6.75,348.25,85705,547785
"48",2016-07-08,343,355.75,342,355,13.25,355,89522,551690
"49",2016-07-07,342.75,353.75,340.5,342,0.25,341.75,97260,556220
"50",2016-07-06,350.75,352.5,339,341.5,9.25,341.5,105374,563435
"51",2016-07-05,356.25,356.5,341,350.75,9.25,350.75,130524,563370
"52",2016-07-01,367.5,368.75,358.75,360.25,5.5,360,104168,574285
"53",2016-06-30,379.75,382.25,360.25,370,12.25,365.5,177476,568731
"54",2016-06-29,389,390.75,377.25,378,11,377.75,128647,567069
"55",2016-06-28,387,402,386.5,388.25,0.5,388.75,130068,565154
"56",2016-06-27,389.25,396.75,387.5,387.5,0.25,389.25,96058,560112
"57",2016-06-24,392.5,395,378,389,3.5,389,118576,552896
"58",2016-06-23,397.75,398,389.5,392,5.75,392.5,102847,544534
"59",2016-06-22,402.25,406.5,397.5,397.25,4,398.25,101234,544444
"60",2016-06-21,425.75,428,401.75,403,24.5,402.25,140023,532487
"61",2016-06-20,440.5,440.75,426.25,426,16,426.75,89822,525123
"62",2016-06-17,429.75,443.5,428.25,440.25,12.25,442.75,86349,516534
"63",2016-06-16,431,435.25,425.5,428,3.5,430.5,86632,510680
"64",2016-06-15,441,444,433.5,433.75,7.75,434,98960,497113
"65",2016-06-14,435,442.25,428.75,441,6.25,441.75,128042,483432
"66",2016-06-13,431.75,442.75,431.75,435,8,435.5,148542,448521
"67",2016-06-10,430,440.75,424.25,428.5,3,427.5,136765,414509
"68",2016-06-09,432.5,433.5,427,430,4.25,430.5,125906,381459
"69",2016-06-08,430,442,429.5,431.75,4.25,434.75,169006,351186
"70",2016-06-07,427.75,430.75,424.75,430,1.5,430.5,134779,323437
"71",2016-06-06,420.5,429.5,420.25,427,9.25,429,71487,314935
"72",2016-06-03,414,420.25,411.75,419,4,419.75,63496,311001
"73",2016-06-02,415,419.75,414,414.5,0.75,415.75,86594,296485
"74",2016-06-01,406.25,415.5,403.25,415,8.25,415,53701,289105
"75",2016-05-31,413.5,414.25,406,407,7.5,406.75,66475,286071
"76",2016-05-27,409.75,414.75,408.5,411.5,3.75,414.25,57504,282955
"77",2016-05-26,406.5,411.25,402.5,411,3.25,410.5,80836,277524
"78",2016-05-25,398.75,407.5,398.25,407,7.25,407.25,54816,270040
"79",2016-05-24,399.25,404.75,396.5,398.75,0.25,400,41807,261984
"80",2016-05-23,396.25,401.25,393,399.75,3,399.75,33407,258316
"81",2016-05-20,392.5,398.75,391.5,396.75,4.25,396.75,48710,251468
"82",2016-05-19,400.25,400.25,387.75,391.5,9.75,392.5,43694,255961
"83",2016-05-18,399.5,402.75,396.75,402,2.5,402.25,39988,251831
"84",2016-05-17,394.5,400.5,393.5,399.75,3.75,399.75,45942,248094
"85",2016-05-16,393,396.25,389.25,395.75,2.75,396,32378,244415
"86",2016-05-13,391,393.75,387.75,393.25,1.5,393.25,40022,244712
"87",2016-05-12,380.5,392,380.5,390,11.5,391.75,41633,237906
"88",2016-05-11,382.5,385.25,377.25,380.75,2.5,380.25,53471,233620
"89",2016-05-10,370.75,387.25,370,381.5,11.75,382.75,56761,226720
"90",2016-05-09,380.25,382.5,370.25,370.25,8.5,371,35089,221769
"91",2016-05-06,375.75,380.25,375.25,377.25,3.75,379.5,29518,213752
"92",2016-05-05,379,381.5,374,375.75,3.25,375.75,34008,213725
"93",2016-05-04,381.5,383.75,378.5,378.5,2.5,379,41650,213437
"94",2016-05-03,392,394.75,378.75,380,10.75,381.5,40427,214571
"95",2016-05-02,390.75,392.75,384.75,394.75,0.5,392.25,20850,214493
"96",2016-04-29,390,393.75,387.25,392,1.25,391.75,21107,213156
"97",2016-04-28,384.25,393.75,383,390.75,5,390.5,38693,212572
"98",2016-04-27,388.5,388.75,383,384.75,3.25,385.5,31211,214044
"99",2016-04-26,382.25,389.25,379.75,388.5,6.5,388.75,28829,212583
"100",2016-04-25,375,389.25,372.5,384,6.75,382.25,35793,210135
"101",2016-04-22,388.25,388.5,374.5,374.5,13.75,375.5,38685,209662
"102",2016-04-21,398.25,406.5,388.25,389,10,389.25,54366,208015
"103",2016-04-20,390,400.25,388.5,396,9,399.25,53067,199454
"104",2016-04-19,383.75,391,383.5,390.25,5.5,390.25,52695,195687
"105",2016-04-18,378.25,386.5,378.25,385,2.5,384.75,57081,191377
"106",2016-04-15,378.5,384.25,377.5,378,2.75,382.25,45842,185638
"107",2016-04-14,378,380.5,376,377,0.5,379.5,42723,181732
"108",2016-04-13,367.75,379,367.5,379,11,379,53014,174874
"109",2016-04-12,362.5,369.5,362.25,367.75,5.5,368,45972,173638
"110",2016-04-11,367.75,368,361.75,363,5.5,362.5,31570,168677
"111",2016-04-08,366.5,368,364.25,367.5,1,368,21603,165217
"112",2016-04-07,363.75,367.25,363.75,366.5,2.75,367,27869,162089
"113",2016-04-06,363.5,365,361.75,364,0.5,364.25,27838,158886
"114",2016-04-05,361.5,363.75,360,363.5,2,363.75,23135,156263
"115",2016-04-04,361.75,362,358.75,361.25,NA,361.75,22070,151068
"116",2016-04-01,361,362,355.75,361.25,1.25,361.75,39726,146064
"117",2016-03-31,375.5,376.25,356.75,359.75,15.5,360.5,49456,142755
"118",2016-03-30,381.25,382.5,375.5,376,5.75,376,21970,142008
"119",2016-03-29,379.25,381.75,377.75,381.25,2.25,381.75,22708,142531
"120",2016-03-28,379.25,381,376.5,379.75,0.25,379.5,16623,140824
"121",2016-03-24,377.75,379.25,376.25,378.75,1.5,379.25,15253,140092
"122",2016-03-23,379,379.75,375.25,378.25,2,377.75,13352,139004
"123",2016-03-22,378.5,381.25,378.5,379,0.5,379.75,6186,138662
"124",2016-03-21,376.5,379.5,375.5,379.25,2.5,379.25,6988,138696
"125",2016-03-18,377.5,378.5,375.75,376.5,1.5,376.75,5838,138342
"126",2016-03-17,378,381.75,376.25,377.25,0.25,378.25,25263,131724
"127",2016-03-16,378,378.5,376,377.5,0.25,378.5,12565,129765
"128",2016-03-15,377.5,379,376,378,0.25,378.75,7775,130354
"129",2016-03-14,374.75,378.75,374.75,377.75,4.25,378.5,12035,129481
"130",2016-03-11,372,374.5,371.75,374,2,374.25,13269,127574
"131",2016-03-10,369.25,373,368.5,372,2.25,372.25,21551,129135
"132",2016-03-09,371,372,368.25,369.75,1.25,370,17524,130270
"133",2016-03-08,370,373.5,367.75,371.25,0.75,371.25,22978,131007
"134",2016-03-07,371.25,372.75,369.75,370.25,1,370.5,21177,131109
"135",2016-03-04,367,371,366.5,369.5,2.5,369.5,11282,128894
"136",2016-03-03,366,367.75,364.75,367.25,0.75,367,13961,126505
"137",2016-03-02,365.5,367.25,365,365.75,0.75,366.25,12958,125561
"138",2016-03-01,367.25,368.5,365.25,366,1.75,365.5,15797,126250
"139",2016-02-29,370.25,371.5,367,367.5,2.75,367.25,17906,124155
"140",2016-02-26,371.5,372,368.5,370.5,1.5,370,11119,120736
