"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2015-07-14,433.75,436.25,423.25,423.25,9.5,424,712,944
"2",2015-07-13,427,434.25,424,434,6.25,433.5,1500,1919
"3",2015-07-10,420,431,418,427,6,427.25,1925,2742
"4",2015-07-09,416.5,425,416.5,419.75,5,421.25,5157,4344
"5",2015-07-08,414.75,420.75,411.75,416.25,0.5,416.25,5680,5359
"6",2015-07-07,412.5,416.25,407.75,415.75,2.75,415.75,6687,8072
"7",2015-07-06,417.75,419.5,408.75,418.75,1.25,418.5,9635,10706
"8",2015-07-02,413,422,409.75,420,6,419.75,10981,14585
"9",2015-07-01,411,417,403,415,0.25,413.75,18497,19803
"10",2015-06-30,383.25,415,382.75,414,30.75,414,39406,26241
"11",2015-06-29,383.75,391.75,381.75,383,1.75,383.25,137314,75589
"12",2015-06-26,376,390,375.5,384.75,8.5,385,185748,131871
"13",2015-06-25,366,377,363.5,376.25,10,376.5,173518,163663
"14",2015-06-24,367,371,363.25,366.25,1,366.5,208634,206972
"15",2015-06-23,361,368.75,360.5,367.25,7.5,367.5,201342,234485
"16",2015-06-22,352.75,360.5,350.5,360,6.75,360,177111,270776
"17",2015-06-19,357.75,358,351.75,353.5,4.75,353.25,163985,294723
"18",2015-06-18,359,361.25,356,358,1.25,358,179219,319175
"19",2015-06-17,353.75,361.25,353.75,359,5.25,359.25,196139,341099
"20",2015-06-16,349,354.25,347.5,354,5.75,354,250662,370627
"21",2015-06-15,353,353.25,346.75,348.25,4.75,348.25,258455,404386
"22",2015-06-12,356,356.75,352.25,353,3.5,353,222450,436164
"23",2015-06-11,357.5,360,354.5,356.75,0.75,356.5,254229,491726
"24",2015-06-10,364.75,366.5,356.75,357,7.75,357.25,348011,534201
"25",2015-06-09,364.75,368.5,362.5,364.5,0.25,365,229751,580195
"26",2015-06-08,360.5,366.25,360.5,365,4.75,365.25,172461,598535
"27",2015-06-05,362.75,367.25,359.75,360.25,3,360.5,208571,621950
"28",2015-06-04,358.5,364.5,356.5,362.75,4.5,363.5,145713,634025
"29",2015-06-03,359,364,357,358.5,NA,359,221435,643413
"30",2015-06-02,352,359.5,351.75,359,6.75,359,179714,655601
"31",2015-06-01,350.5,354.25,348.25,352.5,0.75,352.25,139668,663188
"32",2015-05-29,353.25,357,350,351.5,2,351.5,140694,669409
"33",2015-05-28,349.5,355,348.25,352.75,4,353.5,162595,682031
"34",2015-05-27,355,356.5,348.75,349.25,5.5,349.5,179915,693744
"35",2015-05-26,361,362.5,354,355,5,355,171044,691680
"36",2015-05-22,364,367.75,359.5,360,5,360,153922,679460
"37",2015-05-21,360,366.5,359.75,364.25,5,365,169279,689335
"38",2015-05-20,362.25,362.5,358.5,359.5,2,360,151921,691536
"39",2015-05-19,367.25,368.5,360.25,361.5,6,362,174598,687385
"40",2015-05-18,365.25,371.25,364,368,2.5,368,155003,684516
"41",2015-05-15,367.75,371.5,362,364.75,2.5,365.5,170525,677379
"42",2015-05-14,361.75,368.5,361.25,367.25,5.75,368,197421,676980
"43",2015-05-13,360.25,363.75,357.25,362,1.25,362.25,210070,660947
"44",2015-05-12,359.5,365.75,357.25,360.5,0.5,361,210638,661616
"45",2015-05-11,362.75,364.5,359,359.75,2.5,360.5,107256,660119
"46",2015-05-08,361,364.5,359.5,363.25,1.5,363,131730,660101
"47",2015-05-07,366.5,366.75,360.5,361,5.25,361.5,142856,657085
"48",2015-05-06,363,369.5,362.75,366.25,4,366.75,176871,663678
"49",2015-05-05,360,363,355.75,363,1.5,362.75,158401,653421
"50",2015-05-04,362,363.5,360,361,1.75,361.25,115057,653430
"51",2015-05-01,366,366.5,360.75,363.25,3.25,363,127465,655801
"52",2015-04-30,368,370,364,366.25,1.5,366.25,197950,653722
"53",2015-04-29,364.75,368.5,363.25,367.5,3.25,367.75,175587,646486
"54",2015-04-28,364.25,367.25,362.5,364.75,0.25,364.5,223958,630942
"55",2015-04-27,368.75,369.75,364.25,364.75,5,364.75,211029,608936
"56",2015-04-24,377,377.25,368.5,369.25,7,369.75,194631,575147
"57",2015-04-23,379.75,384.5,376.5,376.5,2.75,376.75,201784,565874
"58",2015-04-22,379.5,381,376,380,0.5,379.5,126316,550883
"59",2015-04-21,383.75,383.75,378,380.5,4.75,380,146594,544230
"60",2015-04-20,386.5,388.5,382.25,384.75,2,384.75,89248,541391
