"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2014-07-14,397.75,408.75,390,NA,9.5,390.25,638,422
"2",2014-07-11,400.5,403.5,394,NA,0.75,399.75,2153,1689
"3",2014-07-10,404,406,399.25,400.75,3.5,400.5,2867,3708
"4",2014-07-09,408.75,408.75,400.75,404.75,4.25,404,2946,5778
"5",2014-07-08,410.5,411,407.25,408.5,1,408.25,3813,8074
"6",2014-07-07,412.25,413.25,405.5,410,7.75,409.25,2809,9355
"7",2014-07-03,418.75,420.25,416.25,417.25,1.5,417,3045,10512
"8",2014-07-02,423,423.25,416.25,419,4.25,418.5,6305,13373
"9",2014-07-01,423.75,423.75,416,423.5,1.5,422.75,9687,16307
"10",2014-06-30,443,443.75,422.5,424,18.75,424.25,32690,24876
"11",2014-06-27,442.25,444.5,440,443,0.25,443,111159,66673
"12",2014-06-26,441.5,446,440.75,443,1.75,442.75,121271,101760
"13",2014-06-25,443,443,440,441.75,2,441,135008,141905
"14",2014-06-24,444.75,445,439.5,442.5,1.5,443,108207,165944
"15",2014-06-23,453,457.75,444,444.25,8.75,444.5,112975,193279
"16",2014-06-20,449.75,453.75,446.25,451.5,2.75,453.25,111978,231544
"17",2014-06-19,441,450.75,441,449.5,9,450.5,116708,258381
"18",2014-06-18,438.5,443.75,438.5,441,2.75,441.5,95002,279280
"19",2014-06-17,440.75,441.5,435.5,439,2.25,438.75,109491,301442
"20",2014-06-16,444.25,449.5,440.25,441,6,441,127895,329725
"21",2014-06-13,444,449.75,443.75,446.75,3,447,127620,353091
"22",2014-06-12,440.5,445,439.5,444.5,3,444,157210,372849
"23",2014-06-11,445.5,449.75,439.25,440.5,4.5,441,184454,403399
"24",2014-06-10,450.5,455,444.75,445.25,5.5,445.5,141802,424058
"25",2014-06-09,457,457.5,445.5,451,8,451,157823,449067
"26",2014-06-06,449,459.75,447,458.5,10,459,163794,459758
"27",2014-06-05,457,458,448.5,449.5,7.25,449,113407,473753
"28",2014-06-04,458.5,460.5,454.25,457,2,456.25,92948,488865
"29",2014-06-03,463.25,465,456,457.25,7.25,458.25,117492,492381
"30",2014-06-02,465,470.5,460.25,465,0.25,465.5,160404,507311
"31",2014-05-30,469.75,473.5,465,465,3.75,465.75,128196,519827
"32",2014-05-29,472.5,472.75,467.25,469.75,3,469.5,130878,530113
"33",2014-05-28,469.75,473,466.5,472.25,2.75,472.5,101518,538168
"34",2014-05-27,474.5,475,469.25,469.75,8.25,469.75,100572,544338
"35",2014-05-23,477.5,480.5,475.5,475.5,1.25,478,85250,550233
"36",2014-05-22,474.5,482.5,472.5,477,2.25,476.75,110537,555632
"37",2014-05-21,473.5,476,472.5,473.5,1,474.5,95615,560287
"38",2014-05-20,477.75,481.25,473,473.75,3.75,473.5,112622,563930
"39",2014-05-19,481.75,482.5,476.25,477,6.25,477.25,118774,576556
