"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"1",2016-07-14,369.5,374.5,360,361.75,3.5,362.25,223,209
"2",2016-07-13,353,372.75,348.5,372.75,16,365.75,673,507
"3",2016-07-12,343,350.25,339.75,350.25,6,349.75,388,720
"4",2016-07-11,354.25,354.75,341.75,344.5,6,343.75,1164,1046
"5",2016-07-08,337.25,349.75,336.75,349.75,14.25,349.75,1158,1900
"6",2016-07-07,338.5,348,334.5,335.5,0.25,335.5,2451,3019
"7",2016-07-06,344.75,346.5,333,336.5,8.25,335.75,4133,4984
"8",2016-07-05,348,350.5,333.75,344.25,9,344,4662,7872
"9",2016-07-01,360.75,362.25,351.75,353.5,5.75,353,6565,10624
"10",2016-06-30,375,377.5,355.75,361.75,14,358.75,35074,22478
"11",2016-06-29,385.5,387.25,372.25,372,12.5,372.75,87901,46826
"12",2016-06-28,383,398.25,382.5,384.75,NA,385.25,94415,73128
"13",2016-06-27,384.25,392,383,385.75,0.75,385.25,88474,105751
"14",2016-06-24,387.5,390,373.5,385.25,2.75,384.5,146844,171291
"15",2016-06-23,392,392.75,384,387.25,5.75,387.25,132071,189131
"16",2016-06-22,396.5,401,392.25,393,3.25,393,177171,211739
"17",2016-06-21,420.5,422.25,396.25,397,25,396.25,259718,242949
"18",2016-06-20,435.5,435.75,420.5,421,16.5,421.25,189374,268518
"19",2016-06-17,425,438.25,423.5,437.5,12.5,437.75,166751,280303
"20",2016-06-16,426.25,429.75,420.5,425.25,3.75,425.25,182612,302822
"21",2016-06-15,435.75,439,428.5,429.25,7.5,429,175244,325753
"22",2016-06-14,429.5,436.75,423.5,436,6.5,436.5,219399,357265
"23",2016-06-13,427.5,438,427.5,429.25,7,430,279636,409359
"24",2016-06-10,426.5,437,420,424,3.5,423,270454,442892
"25",2016-06-09,430.25,430.25,423.25,427,4.75,426.5,240043,484486
"26",2016-06-08,427.25,439.25,426.5,428.5,3.5,431.25,318447,515935
"27",2016-06-07,426.25,428,422.5,427.5,0.5,427.75,246313,558373
"28",2016-06-06,419.75,427.5,419.25,427,9,427.25,204284,567702
"29",2016-06-03,414,419.25,410.5,418,3,418.25,168767,576336
"30",2016-06-02,413.75,419.5,412.5,413.5,1.5,415.25,208340,601514
"31",2016-06-01,404.25,414,401,413,9,413.75,186024,600227
"32",2016-05-31,412.5,413,404,404,8,404.75,186137,617364
"33",2016-05-27,408,413.5,406.5,412.25,4.5,412.75,163672,621356
"34",2016-05-26,404,409.25,400,408,3.5,408.25,206335,628160
"35",2016-05-25,396.5,405,395.75,404,7.25,404.75,154498,628513
"36",2016-05-24,397.25,403.25,394.5,396.75,0.25,397.5,149817,623985
"37",2016-05-23,394,399.25,391,397.75,3.25,397.75,145355,622850
"38",2016-05-20,390,396.75,389,394.25,4.5,394.5,170599,630188
"39",2016-05-19,397.5,397.75,385.5,390,9.5,390,219581,626840
"40",2016-05-18,397,400.5,394,397.25,2.5,399.5,173978,618129
"41",2016-05-17,392.5,398,391.75,397,3,397,179590,610376
"42",2016-05-16,390.25,394.25,386.25,392.5,3.25,394,154138,612958
"43",2016-05-13,388.5,391.25,385.25,390.5,1.75,390.75,144151,619170
"44",2016-05-12,378,389.25,377.5,388.5,11.5,389,183053,624031
"45",2016-05-11,380.75,383.25,375.25,377.5,3.5,377.5,162643,641459
"46",2016-05-10,368.75,386,368,381,12,381,257074,650138
"47",2016-05-09,378.25,381,368.25,369,8.5,369,162018,659872
"48",2016-05-06,373.75,379,373.5,377,3.75,377.5,115184,672823
"49",2016-05-05,376.75,379.5,371.25,373.5,3,373.75,167007,687387
"50",2016-05-04,379.75,382,376.25,376,3,376.75,180626,704915
"51",2016-05-03,391.75,395,377,379.5,12,379.75,237343,719560
"52",2016-05-02,390.25,392.25,385.25,391.25,NA,391.75,143400,720674
"53",2016-04-29,390.75,395.25,388.25,391,0.5,391.75,119400,718011
"54",2016-04-28,383.75,395.25,382.5,391,6.5,391.25,230446,700219
"55",2016-04-27,386.75,387.75,381.5,384,2.5,384.75,177248,705899
"56",2016-04-26,382,387.75,378.5,386.5,5.5,387.25,218188,708057
"57",2016-04-25,374.75,389.5,372,381.25,6.25,381.75,271356,694059
"58",2016-04-22,389,389.25,374.5,375.5,14.25,375.5,302730,683728
"59",2016-04-21,399,407.25,388.5,382.25,10,389.75,339711,664293
"60",2016-04-20,389.5,400.75,388.25,399,10.25,399.75,296688,647184
"61",2016-04-19,383.75,390.75,383.75,389,4.5,389.5,291282,631321
"62",2016-04-18,379,387.5,378.5,384.75,3,385,208808,622688
"63",2016-04-15,377.5,384,375.5,380.5,4,382,246214,592257
"64",2016-04-14,375.75,378.5,373.5,377,1,378,234187,582555
"65",2016-04-13,365.5,377.25,365.25,376,11.5,377,261870,556697
"66",2016-04-12,359.75,368,359.5,364,5.75,365.5,195810,510939
"67",2016-04-11,365,365,358.75,359.75,5.25,359.75,150977,476341
"68",2016-04-08,363.75,365.25,361.5,364.75,1,365,136267,448691
"69",2016-04-07,360.5,364.5,360.5,362.5,3.25,364,165699,398072
"70",2016-04-06,359.75,361.75,358.25,359.75,0.75,360.75,82384,392808
"71",2016-04-05,358,360,356.75,358.75,2.25,360,104699,381773
"72",2016-04-04,357.5,358.25,354.5,357.75,NA,357.75,77215,381614
"73",2016-04-01,356,358,351.25,357.75,2,357.75,119971,362413
"74",2016-03-31,371.25,371.75,351.5,357,15.75,355.75,198628,338791
"75",2016-03-30,377,378.25,371,371.5,5.75,371.5,69299,330897
"76",2016-03-29,374.5,377.25,372.75,377,2.5,377.25,59709,327904
"77",2016-03-28,374,376.5,372,374,0.25,374.75,36254,324454
"78",2016-03-24,373,374.5,371.5,374.25,1.25,374.5,42090,319545
"79",2016-03-23,374,374.75,370.5,373.5,1.5,373.25,37584,316025
"80",2016-03-22,373.75,376.5,373.5,374,0.5,374.75,48284,318172
"81",2016-03-21,371.25,374.5,370.5,373,2.5,374.25,24842,313284
"82",2016-03-18,372.5,373.75,370.5,371.5,1.25,371.75,20331,313759
"83",2016-03-17,373,376.75,371,372,0.25,373,67907,319034
"84",2016-03-16,372.5,373.5,370.75,372,0.25,373.25,29487,315501
"85",2016-03-15,372.5,374,371,373,NA,373.5,26556,315471
"86",2016-03-14,370,374,370,372.5,4,373.5,42573,318352
"87",2016-03-11,366.25,369.75,366.25,369.25,2,369.5,28103,317730
"88",2016-03-10,364.25,368.25,363,367,3,367.5,59522,313961
"89",2016-03-09,365.25,366.5,362.5,364,1.25,364.5,41138,307767
"90",2016-03-08,364.25,367.75,361.75,365,1,365.75,59175,301924
"91",2016-03-07,365.5,367.25,363.75,364.5,1.25,364.75,59955,291835
"92",2016-03-04,361,365.5,360.75,363.75,2.25,363.5,63553,290012
"93",2016-03-03,360.25,362.25,359,361.25,0.5,361.25,44326,286127
"94",2016-03-02,360.25,362,359.5,360,0.5,360.75,33768,285066
"95",2016-03-01,361.75,363.5,360,360,1.5,360.25,56141,287740
"96",2016-02-29,364,366.25,361.5,362,2.5,361.75,46466,284558
"97",2016-02-26,365.75,366.5,362.5,365,1.5,364.25,42833,285026
"98",2016-02-25,369.75,371.5,365.25,365.5,4.25,365.75,52143,283553
"99",2016-02-24,372,372.75,368.75,369.25,2,370,56997,284150
"100",2016-02-23,376.75,377,371.5,372,5.25,372,43119,279743
"101",2016-02-22,374.5,377.75,374.5,377,3.5,377.25,68032,271584
"102",2016-02-19,373.75,375.5,373.25,373,NA,373.75,58384,271942
"103",2016-02-18,376,376.5,373.75,373.75,2.25,373.75,58853,264430
"104",2016-02-17,372,376.25,371.5,375.75,3.5,376,35336,263062
"105",2016-02-16,369.5,373,369,372,4,372.5,54729,262460
"106",2016-02-12,370,371.5,368.25,369,1.25,368.5,59835,255906
"107",2016-02-11,369.75,372.75,368,369.5,0.5,369.75,66650,250891
"108",2016-02-10,371.25,371.75,369,370,0.75,370.25,38018,249595
"109",2016-02-09,372.25,372.5,369.25,371.5,1.25,371,71912,240611
"110",2016-02-08,376,376.75,371.25,372.25,3.75,372.25,34652,236806
"111",2016-02-05,379,379.5,375.5,375.5,2.75,376,46092,233559
"112",2016-02-04,381,383.25,378.25,378.75,2.5,378.75,41936,232482
"113",2016-02-03,382,383,380,381.25,1.25,381.25,38240,226387
"114",2016-02-02,380.5,382.75,378.25,382,2,382.5,58715,226172
"115",2016-02-01,380.25,381,377.25,381,1,380.5,18633,224107
"116",2016-01-29,375,382,375,380,6.25,381.5,35602,220341
"117",2016-01-28,378.5,379.75,374.75,375,3.75,375.25,40351,212387
"118",2016-01-27,378.75,381,377.5,378.75,0.75,379,28307,212674
"119",2016-01-26,379.5,382,377.25,378.75,0.25,379.75,22838,209965
"120",2016-01-25,379,381.5,376.25,380,0.25,380,24478,208637
"121",2016-01-22,376.25,381,376.25,378.5,3,379.75,32504,205318
"122",2016-01-21,378,381,375.25,377.75,1.75,376.75,52498,205049
"123",2016-01-20,376.75,379,375.25,378.5,1.5,378.5,31257,200112
"124",2016-01-19,374,379,373,377.25,4.25,377,53156,197124
"125",2016-01-15,368.25,373,366.25,372.5,4.5,372.75,33326,197138
"126",2016-01-14,369,370.75,366.25,368,0.75,368.25,49850,194031
"127",2016-01-13,367.75,371.5,367,368.75,0.75,369,63969,198452
"128",2016-01-12,363.5,375,361.5,367.5,4.75,368.25,72625,195364
"129",2016-01-11,369,369.25,361.75,363.25,5.5,363.5,43178,191403
"130",2016-01-08,364.5,369.75,364.25,368.5,4.5,369,55696,183506
"131",2016-01-07,364.5,365.5,360.25,364.75,NA,364.5,26330,179865
"132",2016-01-06,365.5,366.25,361.5,364.75,0.25,364.5,26990,178687
"133",2016-01-05,365,367.5,363.75,366,1,364.75,28733,178787
"134",2016-01-04,371.75,372,363,366,6.75,363.75,37977,176504
"135",2015-12-31,371,372.25,369.75,370.5,1,370.5,12929,175287
"136",2015-12-30,375,376.25,370.5,371,3.5,371.5,16568,174350
"137",2015-12-29,373.75,375.5,369.75,375,1.25,375,16492,171923
"138",2015-12-28,376.75,377.75,373,372.75,3,373.75,12786,166558
"139",2015-12-24,377.5,378,375.75,377,1,376.75,6358,165381
"140",2015-12-23,378.75,379.75,376.75,377.5,0.75,377.75,12025,163964
"141",2015-12-22,384,386.5,378,378,5.5,378.5,21527,161175
"142",2015-12-21,385.75,388.5,381.5,384.25,2.25,384,20706,158666
"143",2015-12-18,386,391,384.5,386.75,0.5,386.25,35032,157179
"144",2015-12-17,381,386.25,373.75,385.5,5.25,385.75,43215,156304
"145",2015-12-16,386.5,387.75,380,380,6.75,380.5,18899,156059
"146",2015-12-15,388.25,389,385.5,387.5,1.75,387.25,12157,156019
"147",2015-12-14,384.75,389.5,384.25,389,4.25,389,16124,156186
"148",2015-12-11,388.25,389.75,384.5,385.5,4,384.75,22484,158290
"149",2015-12-10,384.25,389.5,383,389,4.5,388.75,25929,164430
"150",2015-12-09,384.25,389.75,381.25,384.5,0.25,384.25,21836,165488
"151",2015-12-08,384.5,386.25,383.75,384.5,0.25,384.5,15036,167837
"152",2015-12-07,391.5,393,384,384.25,8.5,384.25,18678,171153
"153",2015-12-04,387.75,393,387.5,392.5,4.75,392.75,20842,172146
"154",2015-12-03,381,389,379,387,6.5,388,22978,171704
"155",2015-12-02,384.5,384.5,381,381,3,381.5,20125,169739
"156",2015-12-01,383.75,386.25,382,384.75,0.75,384.5,22983,170669
"157",2015-11-30,378.25,385.25,378,383.5,5.25,383.75,22160,168650
"158",2015-11-27,383,383.5,378.25,378.5,5,378.5,14492,167332
"159",2015-11-25,380.25,384.25,380.25,383.5,3.25,383.5,21967,163474
"160",2015-11-24,383.25,383.5,380,380.75,3.25,380.25,14791,161466
"161",2015-11-23,380,383.75,377.5,383.25,2.75,383.5,17019,160387
"162",2015-11-20,380,383,379,381,NA,380.75,17273,157466
"163",2015-11-19,378.75,382,377.25,381.25,2,380.75,22128,156145
"164",2015-11-18,378.5,380.5,376,378.5,0.25,378.75,26041,155714
"165",2015-11-17,378.25,380.5,376,378.5,0.25,378.5,18879,153992
"166",2015-11-16,377,379.5,375.75,379.25,1.25,378.25,12682,152842
"167",2015-11-13,381,381,376.75,376.75,4,377,15715,151476
"168",2015-11-12,380.75,381.5,377.5,380,0.25,381,31978,145582
"169",2015-11-11,381.25,382,379.25,381,1.25,381.25,49756,141451
"170",2015-11-10,388,388.25,377,380.75,7.5,380,42073,137419
"171",2015-11-09,393.5,395.75,387.25,388,6.25,387.5,25734,133002
"172",2015-11-06,394.5,394.75,390,393.75,0.25,393.75,23015,129648
"173",2015-11-05,398,398,393,393.5,5,394,25593,125147
"174",2015-11-04,398,401.75,395.5,398.5,0.25,399,22246,124091
"175",2015-11-03,395.25,400.5,394.25,398.5,4,399.25,20034,121740
"176",2015-11-02,400.5,400.75,394.75,395,6.25,395.25,16017,122441
