"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2013-03-14,742,749,730,NA,NA,732.75,890,737
"2",2013-03-13,741,744,730,NA,NA,741.25,1891,1890
"3",2013-03-12,733.25,743.25,730,NA,NA,741,1814,3189
"4",2013-03-11,726.5,736.75,725.5,NA,NA,734.5,1631,4281
"5",2013-03-08,712.75,725.75,711.5,NA,NA,725.25,1741,5464
"6",2013-03-07,707.75,713.5,704,NA,NA,711.5,2109,6414
"7",2013-03-06,732.25,732.25,707.5,NA,NA,708,6755,9119
"8",2013-03-05,723,733.5,722.75,NA,NA,732,6519,12564
"9",2013-03-04,724.25,730.5,715.25,NA,NA,723,8413,16371
"10",2013-03-01,719.5,726.5,716,NA,NA,724.25,14724,22650
"11",2013-02-28,709.5,722,709.5,NA,NA,719.5,42856,38600
"12",2013-02-27,705,711.25,702.5,NA,NA,709.5,118901,79921
"13",2013-02-26,693.5,705.75,691.75,NA,NA,705,125886,115349
"14",2013-02-25,690,695.5,687.5,NA,NA,693.5,111625,143521
"15",2013-02-22,692,697.75,690,NA,NA,690.25,122117,199078
"16",2013-02-21,700,701.25,690,NA,NA,690.75,137494,227035
"17",2013-02-20,696.75,701.5,693.25,NA,NA,700.5,141192,269457
"18",2013-02-19,701,703.25,691,NA,NA,695.25,128023,278548
"19",2013-02-15,695,703.25,694,NA,NA,698.75,127901,294519
"20",2013-02-14,695.75,699.25,690,NA,NA,694.75,133639,306971
"21",2013-02-13,696.5,701,687.25,NA,NA,695.5,188812,337769
"22",2013-02-12,702.25,703.25,691.5,NA,NA,696.25,201582,363866
"23",2013-02-11,709,713.75,701,NA,NA,702.25,185571,394338
"24",2013-02-08,710.5,720.75,706.75,NA,NA,709,245330,430161
"25",2013-02-07,721.25,722.25,710,NA,NA,710.75,184674,451211
"26",2013-02-06,729.25,729.5,720.5,NA,NA,722.5,118544,457268
"27",2013-02-05,734,735,724,NA,NA,729,139502,465671
"28",2013-02-04,738.5,741.75,730.75,NA,NA,734.25,103222,471441
"29",2013-02-01,740.25,746.25,735,NA,NA,736,160375,494862
"30",2013-01-31,739.25,744.5,734.25,NA,NA,740.5,163708,497212
"31",2013-01-30,729,741,725.5,NA,NA,740.25,153093,488873
"32",2013-01-29,728.5,732.5,727.5,NA,NA,729.5,109407,490632
"33",2013-01-28,722.75,729.75,719,NA,NA,729.25,102267,492586
"34",2013-01-25,725,727.5,717.5,NA,NA,720.75,111719,495147
"35",2013-01-24,720.25,726,714.5,NA,NA,724.25,128728,494588
"36",2013-01-23,728,730.5,719.25,NA,NA,720.75,118996,499243
"37",2013-01-22,730.25,734.75,726.25,NA,NA,728.5,105090,498693
"38",2013-01-18,724.5,729.5,723,NA,NA,727.5,135622,502200
"39",2013-01-17,731.25,734,722.5,NA,NA,724.5,116488,510316
"40",2013-01-16,730,735,724.5,NA,NA,731.25,157282,513753
"41",2013-01-15,723.5,734.5,722,NA,NA,730.5,176923,516107
"42",2013-01-14,713.75,726.75,713,NA,NA,724,174454,528713
"43",2013-01-11,698.5,723.75,686.25,NA,NA,708.75,308268,528898
"44",2013-01-10,694.75,700.5,694.5,NA,NA,698.75,135398,528829
"45",2013-01-09,688,696,686.5,NA,NA,694.25,116572,523450
"46",2013-01-08,685.5,694.5,683.75,NA,NA,688.75,123868,522364
"47",2013-01-07,680.5,690,678,NA,NA,685.5,118471,524399
"48",2013-01-04,688,692.25,679.5,NA,NA,680.25,128223,532916
"49",2013-01-03,690.75,694.75,685,NA,NA,689.25,108626,536693
"50",2013-01-02,706.25,707.25,687.75,NA,NA,690.75,113053,528426
"51",2012-12-31,694,701.5,689.25,NA,NA,698.25,62485,531226
"52",2012-12-28,691.75,696.25,688.75,NA,NA,694,63282,537256
"53",2012-12-27,693.25,695.5,689.25,NA,NA,691.5,63641,545691
"54",2012-12-26,705,706.25,692.25,NA,NA,693.25,59636,550210
"55",2012-12-24,703,707.25,700.5,NA,NA,704.25,21192,551506
"56",2012-12-21,697,704.75,696.75,NA,NA,702,68214,572000
"57",2012-12-20,704,705,687.5,NA,NA,696.5,161340,577743
"58",2012-12-19,721.25,723,701.5,NA,NA,703,159313,575195
"59",2012-12-18,724,725.75,715.25,NA,NA,720,85186,581580
"60",2012-12-17,732,734.75,721.25,NA,NA,724,85330,587554
"61",2012-12-14,719.5,731.75,717.75,NA,NA,730.75,110470,595564
"62",2012-12-13,725,728,715,NA,NA,720.25,148558,603401
"63",2012-12-12,728,731.75,719,NA,NA,725.5,134387,619808
"64",2012-12-11,730,734.75,723.75,NA,NA,728,140636,622411
"65",2012-12-10,735,736.25,725.25,NA,NA,730,128687,624765
"66",2012-12-07,751,752.75,735,NA,NA,737.25,168381,634215
"67",2012-12-06,757,759,748,NA,NA,751.5,98155,635091
"68",2012-12-05,752,759.25,750.25,NA,NA,757.75,121095,635410
"69",2012-12-04,754.5,757,746.75,NA,NA,752,147628,644848
"70",2012-12-03,756.25,764,749.5,NA,NA,754.75,111253,649137
"71",2012-11-30,758.75,758.75,748,NA,NA,752.75,141251,648857
"72",2012-11-29,763,767,756.25,NA,NA,758.75,189457,629445
"73",2012-11-28,762.75,767.5,758.75,NA,NA,764,163300,610363
"74",2012-11-27,750.25,764.25,750.25,NA,NA,764,164771,592933
"75",2012-11-26,749,757,746,NA,NA,751.25,130222,575882
"76",2012-11-23,750,753,747.5,NA,NA,749.75,51691,571500
"77",2012-11-21,746.75,751,742,NA,NA,745.25,84065,557967
"78",2012-11-20,742,751,738,NA,NA,747.25,92119,544877
"79",2012-11-19,730.25,744.75,730,NA,NA,742.5,92088,529089
"80",2012-11-16,725,733.75,714.5,NA,NA,731,107018,513248
"81",2012-11-15,729.5,731.75,724,NA,NA,725,79779,506557
"82",2012-11-14,725.75,731.5,722.25,NA,NA,729.25,98006,482877
"83",2012-11-13,722,730,714.25,NA,NA,726.25,150473,469636
"84",2012-11-12,740.5,746.75,716.25,NA,NA,722.25,138492,442731
"85",2012-11-09,743.25,757,735.5,NA,NA,742,144955,432499
"86",2012-11-08,746,750,742.25,NA,NA,743.25,90889,424039
"87",2012-11-07,742.75,752.25,735.5,NA,NA,746,89975,413453
"88",2012-11-06,738,743.5,738,NA,NA,743,54525,406734
"89",2012-11-05,740.5,747.25,735.75,NA,NA,738,48825,405066
"90",2012-11-02,752.25,754,739,NA,NA,742.5,76578,394794
"91",2012-11-01,756.25,763.25,752.5,NA,NA,753.5,75325,387561
"92",2012-10-31,744.25,759.25,744.25,NA,NA,757,89250,376496
"93",2012-10-30,739,746,738,NA,NA,744.5,65102,364401
"94",2012-10-29,739,748,734.75,NA,NA,739,32933,360376
"95",2012-10-26,743.75,746.5,739,NA,NA,739.75,42399,350448
"96",2012-10-25,755,758.5,742.75,NA,NA,744,49286,338501
"97",2012-10-24,755.75,763.75,752.75,NA,NA,756,81465,323409
"98",2012-10-23,759,760.25,748.5,NA,NA,756,53743,322158
"99",2012-10-22,759,765,756.5,NA,NA,759.25,19298,319728
