"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2012-09-14,776.5,792,775.5,NA,NA,777.5,403,351
"2",2012-09-13,768.25,778,766.25,NA,NA,776.75,1117,916
"3",2012-09-12,782.5,786.25,761.5,NA,NA,771,1746,1922
"4",2012-09-11,781,786,778.25,NA,NA,782.25,2086,3190
"5",2012-09-10,793.5,800.75,779,NA,NA,781,3352,4941
"6",2012-09-07,795,801.25,790,NA,NA,795,3232,6531
"7",2012-09-06,792,800.25,787.25,NA,NA,797.25,4355,8255
"8",2012-09-05,805.5,807.25,789,NA,NA,789.75,8983,11504
"9",2012-09-04,805,818.25,800,NA,NA,807,5179,13377
"10",2012-08-31,811,813.75,796,NA,NA,802.75,13201,17378
"11",2012-08-30,810.75,819,807,NA,NA,811.5,51970,34616
"12",2012-08-29,789.75,812,787.75,NA,NA,810.25,55469,49610
"13",2012-08-28,795,798.75,788.25,NA,NA,789.5,57160,63965
"14",2012-08-27,806.25,811,794,NA,NA,794.5,40740,78929
"15",2012-08-24,808.5,817,800,NA,NA,802.25,56842,118732
"16",2012-08-23,829.5,833.75,805,NA,NA,808.75,72018,122605
"17",2012-08-22,830.25,834,822.75,NA,NA,830.25,59469,132598
"18",2012-08-21,814.75,832.5,813.5,NA,NA,831.25,57426,132712
"19",2012-08-20,799,817.5,798.75,NA,NA,815.25,66427,141366
"20",2012-08-17,796,804.5,793.5,NA,NA,798.5,57638,151447
"21",2012-08-16,793.5,801,789.5,NA,NA,797.75,52583,157324
"22",2012-08-15,780,796.25,778,NA,NA,794,83588,172846
"23",2012-08-14,784.75,790.5,777.75,NA,NA,779.75,53879,183563
"24",2012-08-13,799,804.5,776.75,NA,NA,782.75,121395,201900
"25",2012-08-10,817.5,843.75,799.25,NA,NA,800,138756,218800
"26",2012-08-09,810,826,810,NA,NA,818.25,115369,241667
"27",2012-08-08,795.25,812,787.75,NA,NA,810.75,100814,262335
"28",2012-08-07,801,807.25,792.25,NA,NA,796,85229,280748
"29",2012-08-06,803.25,807.75,793,NA,NA,803,59127,288164
"30",2012-08-03,794,817.5,787,NA,NA,810,61780,290751
"31",2012-08-02,803,808.5,784.25,NA,NA,794,68945,300435
"32",2012-08-01,806.5,818,782.25,NA,NA,800.5,85324,314651
"33",2012-07-31,819,825,805.25,NA,NA,806.5,77339,329305
"34",2012-07-30,801,823,799.75,NA,NA,820,67199,335846
"35",2012-07-27,781.25,801,776.5,NA,NA,798.5,60801,341845
"36",2012-07-26,790.5,799.5,776.25,NA,NA,781.25,67999,346812
"37",2012-07-25,790,805.75,781.75,NA,NA,794.5,75701,355419
"38",2012-07-24,814,815.5,774,NA,NA,790,83661,361541
"39",2012-07-23,823,824,795.25,NA,NA,814,74918,362034
"40",2012-07-20,806.75,828.75,799.5,NA,NA,824.5,114239,365641
"41",2012-07-19,793,816.75,790.25,NA,NA,807.75,106585,368546
"42",2012-07-18,780,797,763.5,NA,NA,795,92802,369243
"43",2012-07-17,790,796.5,767,NA,NA,779.5,87352,370562
"44",2012-07-16,750,780.5,749.25,NA,NA,776.75,87149,365695
"45",2012-07-13,730,748,726.5,NA,NA,740.5,87736,366349
"46",2012-07-12,709.5,738.5,704.5,NA,NA,731.25,79046,364792
"47",2012-07-11,718,749,685.5,NA,NA,704,145685,362305
"48",2012-07-10,731,734,713.5,NA,NA,718.5,88556,365730
"49",2012-07-09,709.5,735.25,709.5,NA,NA,732,84118,369169
"50",2012-07-06,708,708,689.25,NA,NA,695.25,72576,373066
"51",2012-07-05,690,714,687,NA,NA,708.75,130066,365238
"52",2012-07-03,665,675.25,657.25,NA,NA,674,79019,367588
"53",2012-07-02,642.5,657.5,640.75,NA,NA,652.25,89144,369716
