Thursday,Grain,Pounds,Destination,Field Office,FGIS Reg,MKT YR,Metric Ton,,Grain,(All),,,,,,,,,,,,,,Sum of Metric Ton,Column Labels,,,,,,,,
20150108,SOYBEANS,1080000,INDONESIA,TOLEDO,EAST COAST,1415,490,,20150730,1648522,,HONG KONG,,,14729,,,416,637,588,16370,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,20150806,1637462,,INDONESIA,,,33040,,,,1491870,375945,1900855,,,,,,,,,,,,
20150108,SOYBEANS,1080000,INDONESIA,TOLEDO,EAST COAST,1415,490,,20150813,2012249,,IRAN,,,137658,,,,,,137658,,,,,,,,,,,,
20150108,SOYBEANS,67019840,RUSSIA,LEAGUE CITY,WEST GULF,1415,30400,,20150820,1591821,,IRAQ,,,,,,,,102503,102503,,,,,,,,,,,,
20150108,SOYBEANS,594000,INDONESIA,TOLEDO,INTERIOR,1415,269,,20150827,1910023,,IRELAND,,,61332,,,,,,61332,,,,,,,,,,,,
20150108,SOYBEANS,594000,THAILAND,TOLEDO,INTERIOR,1415,269,,20150903,1707250,,ISRAEL,,,,,,,24,83162,83186,,,,,,,,,,,,
20150108,SOYBEANS,756000,THAILAND,TOLEDO,INTERIOR,1415,343,,20150910,1867456,,ITALY,,,,,,,,619511,619511,,,,,,,,,,,,
20150108,SOYBEANS,432000,INDONESIA,TOLEDO,INTERIOR,1415,196,,20150917,2079395,,JAMAICA,,,202900,,,,,150656,353556,,,,,,,,,,,,
20150108,WHEAT,13226620,VENEZUELA,TOLEDO,EAST COAST,1415,5999,,20150924,2324636,,JAPAN,49975,,10045220,,,74743,1453701,2169007,13792646,,,,,,,,,,,,
20150108,WHEAT,220000,MEXICO,MOSCOW,INTERIOR,1415,100,,20151001,2447268,,JORDAN,,,17453,,,,,,17453,,,,,,,,,,,,
20150108,WHEAT,660000,MEXICO,MOSCOW,INTERIOR,1415,299,,Grand Total,81969142,,KENYA,,,,,,105625,,18800,124425,,,,,,,,,,,,
20150108,WHEAT,22000000,MEXICO,DIOO,INTERIOR,1415,9979,,,,,KOREA REP,244,,3437631,,,680,247736,854972,4541263,,,,,,,,,,,,
20150108,SOYBEANS,324000,INDONESIA,TOLEDO,EAST COAST,1415,147,,,,,LIBERIA,,,,,,,,23873,23873,,,,,,,,,,,,
20150108,SOYBEANS,648000,MALAYSIA,TOLEDO,INTERIOR,1415,294,,,,,MALAYSIA,,,4087,,,,176573,114173,294833,,,,,,,,,,,,
20150108,SOYBEANS,1080000,INDONESIA,TOLEDO,EAST COAST,1415,490,,,,,MAURITANIA,,,,,,,,2866,2866,,,,,,,,,,,,
20150108,SOYBEANS,378000,INDONESIA,TOLEDO,INTERIOR,1415,171,,,,,MEXICO,27245,20636,8545213,100,600,8296,2603276,2120168,13325534,,,,,,,,,,,,
20150108,SOYBEANS,432000,INDONESIA,TOLEDO,INTERIOR,1415,196,,,,,MOROCCO,13820,,263993,,,,111221,10374,399408,,,,,,,,,,,,
20150108,SOYBEANS,594000,INDONESIA,TOLEDO,INTERIOR,1415,269,,,,,MOZAMBIQUE,,,,,,,,12087,12087,,,,,,,,,,,,
